cluster;num_commerciali;payout_medio_mean;payout_mediana_mean;payout_p95_mean;payout_p99_mean;payout_massimo_mean;ticket_vincenti_medio_mean;ticket_vincenti_massimo_mean;tail_ratio_mean;tail_spread_mean;compat_risk_score_mean;ticket_incompatibili_sum;ticket_esclusi_montecarlo_sum;ticket_misti_sum;ticket_non_mappati_sum;pct_non_mappati_mean;pct_correlati_misti_mean;risk_score_cluster;cluster_label
3;6;37,612429999999996;3,158333333333333;70,24;123,25666666666616;15948,678333333335;0,2525;2,1666666666666665;1,6413184059292398;53,01666666666617;1022,5;0;0;0;18;100,0;0,0;3533,8135072595915;SAFE
2;70;2477,696961857143;2044,343;5642,795199999999;6895,20051;10090,77942857143;8,5892;15,214285714285714;10,64927823815103;1252,4053100000006;1370,6922714285715;1;1;0;2195;99,26565571428571;0,0;7465,003369243675;WATCH
0;15;69710,13410733333;62492,16733333333;125274,43173333332;153189,61000666665;189602,86;262,78860000000003;353,1333333333333;2,7081602385478614;27915,178273333342;8107,326233333334;0;0;11;12460;77,60120666666667;0,052566666666666664;133362,23924985479;RISKY
1;1;9312544,22433;9244310,135;10602429,8145;11195416,503699996;12189635,77;41945,232;49899,0;1,20218666714632;592986,6891999952;1584674,9379999998;5;5;187;167108;86,0548;0,1756;9974783,921571715;EXTREME
