des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
VINCENTE QUALIFICHE;Leclerc C.;;;;NON_MAPPATO;famiglia non riconosciuta;6;6;DOMUSBET, STARCASINO;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring QUALIFICHE | VINCENTE QUALIFICHE | Leclerc C.
X O GG;Si;;;;NON_MAPPATO;famiglia non riconosciuta;6;4;STARCASINO;CALCIO | ITALIA - I DIVISIONE | Parma - Cagliari | X O GG | Si
X OR GOL SI/NO;SI;;;;NON_MAPPATO;famiglia non riconosciuta;6;5;ADMIRAL;CALCIO | IRLANDA - II DIVISIONE | Treaty United - Athlone Town | X OR GOL SI/NO | SI
1 O OV INFO1;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;ADMIRAL;CALCIO | GARA AMICHEVOLE | Rosenborg - Manchester United | 1 O OV INFO1 | SI
1 O OV TEMPO;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;1;STANLEYBET;CALCIO | NORVEGIA - II DIVISIONE | Aasane Fotball - Egersunds IK | 1 O OV TEMPO | SI
2 OR GOL SI/NO;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;1;ADMIRAL;CALCIO | FINLANDIA - I DIVISIONE | Jaro - Seinajoen | 2 OR GOL SI/NO | SI
CAPOCANNONIERE SQUADRA;Jonathan David;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL;CALCIO | MONDO - MONDIALI | CANADA (Mondiale 2026) | CAPOCANNONIERE SQUADRA | Jonathan David
DNB TEMPO INFO1;2;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;360BET, STARCASINO, TOTOSI;CALCIO | REP. CECA- I DIVISIONE | FC Zlin - Banik Ostrava | DNB TEMPO INFO1 | 2
GG/NG+U/O INFO1;GG+UN;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;ADMIRAL;CALCIO | MONDO - MONDIALI | Brasile - Norvegia | GG/NG+U/O INFO1 | GG+UN
GIOCATORE O SUO SOSTITUTO SEGNA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;1;WILLIAMHILL;CALCIO | NORVEGIA - II DIVISIONE | Stromsgodset - Lyn 1896 FK | GIOCATORE O SUO SOSTITUTO SEGNA | SI
GOAL DI TESTA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;1;STANLEYBET;CALCIO | ITALIA - I DIVISIONE | Atalanta - Sassuolo | GOAL DI TESTA | SI
HANDICAP INFO1 CORNER;2;;;;NON_MAPPATO;famiglia non riconosciuta;5;4;STARCASINO;CALCIO | USA - I DIVISIONE | Los Angeles - Sporting Kansas City | HANDICAP INFO1 CORNER | 2
MARCATORE INFO1;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;SPORTBET, STANLEYBET;CALCIO | POLONIA - I DIVISIONE | RKS Radomiak Radom - Wieczysta Krakow | MARCATORE INFO1 | SI
MG CASA + MG OSPITE;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;WILLIAMHILL;CALCIO | ARGENTINA - I DIVISIONE | Defensa Y Justicia - Aldosivi | MG CASA + MG OSPITE | SI
MIGLIORE DEL GRUPPO;Lindblad A.;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;MARATHON;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring PROVE LIBERE 2 | MIGLIORE DEL GRUPPO | Lindblad A.
MIGLIORE DEL GRUPPO;Norris L.;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, MARATHON;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring PROVE LIBERE 2 | MIGLIORE DEL GRUPPO | Norris L.
OSPITE SEGNA 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, SPORTBET, STANLEYBET;CALCIO | ITALIA - I DIVISIONE | Udinese - Como | OSPITE SEGNA 2°T | SI
OV INFO1 CASA + UN INFO2 OSPITE;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;DOMUSBET;CALCIO | ITALIA - I DIVISIONE | Inter - Monza | OV INFO1 CASA + UN INFO2 OSPITE | SI
PARZ/FIN;2-X;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;DOMUSBET;CALCIO | BRASILE - U20 I DIVISIONE | EC Sao Bento SP - Jabaquara AC SP | PARZ/FIN | 2-X
PARZIALE/FINALE;X-2;;;;NON_MAPPATO;famiglia non riconosciuta;5;4;MARATHON, SPORTBET, WILLIAMHILL;CALCIO | ITALIA - I DIVISIONE | Bologna FC - Lazio | PARZIALE/FINALE | X-2
RIGORE;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;MARATHON, SPORTBET;CALCIO | INGHILTERRA - I DIVISIONE | Arsenal - Coventry City | RIGORE | SI
RIS. ESATTO;1-4;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL;CALCIO | ISLANDA - II DIVISIONE | Volsungur - Grindavik | RIS. ESATTO | 1-4
RIS. ESATTO;3-0;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL;CALCIO | GARA AMICHEVOLE | Bournemouth - St. Pauli | RIS. ESATTO | 3-0
RIS. ESATTO MULTI ESITI 3;3-0 / 2-1;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;ADMIRAL;CALCIO | GARA AMICHEVOLE | Osasuna - Racing Santander | RIS. ESATTO MULTI ESITI 3 | 3-0 / 2-1
RIS.ESATTO MULTIPLO 5;1-1 2-1 1-2 2-2;;;;NON_MAPPATO;famiglia non riconosciuta;5;4;BBET, DOMUSBET, STANLEYBET;CALCIO | MONDO - MONDIALI | Inghilterra - Argentina | RIS.ESATTO MULTIPLO 5 | 1-1 2-1 1-2 2-2
SEGNA SQ 2 1° T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;ADMIRAL;CALCIO | FINLANDIA - I DIVISIONE | Jaro - Seinajoen | SEGNA SQ 2 1° T | SI
SET BETTING;1-3;;;;NON_MAPPATO;famiglia non riconosciuta;5;4;MARATHON, STARCASINO;VOLLEY | MONDO - NATIONS LEAGUE F. | Brasile - Italia | SET BETTING | 1-3
SOMMA GOAL;0;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;ADMIRAL;CALCIO | ARGENTINA - III DIVISIONE | Kimberley de Mar Del Plata - CDC Nicanor Otamendi | SOMMA GOAL | 0
SOMMA GOAL FINALE;0;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;WILLIAMHILL;CALCIO | ARGENTINA - I DIVISIONE | Gimnasia y Esgrima Mendoza - Central Cordoba | SOMMA GOAL FINALE | 0
SOMMA GOAL FINALE;1;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;WILLIAMHILL;CALCIO | ARGENTINA - I DIVISIONE | Gimnasia y Esgrima Mendoza - Central Cordoba | SOMMA GOAL FINALE | 1
