des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
U/O;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;23250;3662;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | AUSTRIA - COPPA | FC Dornbirn 1913 - Ried | U/O | OVER
T/T;1;;;;NON_MAPPATO;famiglia non riconosciuta;5319;2602;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;BASKET | AUSTRALIA - NBL1 | Joondalup Wolves - Mandurah Magic | T/T | 1
GG/NG;GG;;;;NON_MAPPATO;famiglia non riconosciuta;4866;1222;ADMIRAL, DOMUSBET;CALCIO | IRLANDA - II DIVISIONE | UC Dublin - Cork City | GG/NG | GG
U/O;Over;;;;NON_MAPPATO;famiglia non riconosciuta;4699;879;STARCASINO, WILLIAMHILL;CALCIO | AUSTRIA - COPPA | SV Tillmitsch - SKN St. Polten | U/O | Over
GG/NG;GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;4627;1419;360BET, BBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | AUSTRIA - COPPA | Union Gurten - Blau Weiss Linz | GG/NG | GOAL
U/O INFO1;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;4362;700;ADMIRAL, DOMUSBET;PALLAMANO | AMICHEVOLI PER CLUB | Skive - Tth Holstebro | U/O INFO1 | OVER
1X;1X;;;;NON_MAPPATO;famiglia non riconosciuta;3990;1222;ADMIRAL, MARATHON, STARCASINO, WILLIAMHILL;CALCIO | LIBANO - I DIVISIONE | Al Ahed FC - AL Ansar SC | 1X | 1X
X2;X2;;;;NON_MAPPATO;famiglia non riconosciuta;2597;1080;ADMIRAL, MARATHON, STARCASINO, WILLIAMHILL;CALCIO | ECUADOR - II DIVISIONE | CD El Nacional - Gualaceo | X2 | X2
T/T (ESCL. RITIRO);2;;;;NON_MAPPATO;famiglia non riconosciuta;2438;1251;360BET, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;TENNIS | CHALLENGER DI FINLANDIA | Squire, Henri - Virtanen, Otto | T/T (ESCL. RITIRO) | 2
T/T;2;;;;NON_MAPPATO;famiglia non riconosciuta;2210;1885;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;BASKET | LIBANO - I DIVISIONE | Sagesse - AL Riyadi Beirut | T/T | 2
T/T (ESCL. RITIRO);1;;;;NON_MAPPATO;famiglia non riconosciuta;2025;1296;360BET, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;TENNIS | CHALLENGER DI SVIZZERA | Rehberg, Max Hans - Matusevich, Anton | T/T (ESCL. RITIRO) | 1
MULTIGOL INFO1-INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;1944;264;BBET, DOMUSBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ROMANIA - I DIVISIONE | Champions FC Arges - Petrolul Ploiesti | MULTIGOL INFO1-INFO2 | SI
U/O;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;1739;646;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | GARA AMICHEVOLE | Bournemouth - St. Pauli | U/O | UNDER
DC 1X;1X;;;;NON_MAPPATO;famiglia non riconosciuta;1547;440;360BET, BBET, SPORTBET, TOTOSI;CALCIO | REP. CECA - COPPA | MFK Kravare - FK Bospor Bohumin | DC 1X | 1X
GG/NG;Goal;;;;NON_MAPPATO;famiglia non riconosciuta;1498;477;STARCASINO, WILLIAMHILL;CALCIO | LITUANIA - I DIVISIONE | FA Siauliai - FC Hegelmann Kaunas | GG/NG | Goal
U/O INFO1 SQUADRA INFO2;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;1428;348;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | BRASILE - U20 I DIVISIONE | Sfera FC SP - Gremio Osasco Audax EC SP | U/O INFO1 SQUADRA INFO2 | OVER
OV 1°T + OV 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;1347;286;360BET, BBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;CALCIO | AUSTRALIA - NPL VICTORIA | Oakleigh Cannons - South Melbourne | OV 1°T + OV 2°T | SI
U/O INFO1 TEMPO INFO2;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;1304;230;360BET, BBET, STANLEYBET, TOTOSI;CALCIO | ASIA - AFF CUP | Timor Est - Vietnam | U/O INFO1 TEMPO INFO2 | OVER
12;12;;;;NON_MAPPATO;famiglia non riconosciuta;1172;333;ADMIRAL, MARATHON, STARCASINO, WILLIAMHILL;CALCIO | POLONIA - I DIVISIONE | MKS Pogon Szczecin - Legia Varsavia | 12 | 12
U/O INFO1 INFO2 TEMPO;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;1172;203;DOMUSBET;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Emmen - Twente | U/O INFO1 INFO2 TEMPO | OVER
GG O OV 2.5;SI;;;;NON_MAPPATO;famiglia non riconosciuta;1053;204;BBET, DOMUSBET, SPORTBET, STANLEYBET;CALCIO | DANIMARCA - I DIVISIONE | Viborg - Odense Boldklub | GG O OV 2.5 | SI
DC X2;X2;;;;NON_MAPPATO;famiglia non riconosciuta;1001;437;360BET, BBET, SPORTBET, TOTOSI;CALCIO | AMERICA - CONCACAF CHAMPIONSHIP U20 | Guatemala - Costa Rica | DC X2 | X2
CAMBIO SQUADRA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;732;123;ADMIRAL, STANLEYBET;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA | SI
U/O INFO1 TEMPO;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;703;238;SPORTBET;CALCIO | USA - III DIVISIONE | NEW YORK RED BULLS - Crown Legacy FC | U/O INFO1 TEMPO | OVER
INFO1 PIAZZATO TRA I PRIMI INFO3;SI;;;;NON_MAPPATO;famiglia non riconosciuta;671;645;360BET, ADMIRAL, DOMUSBET, MARATHON, SPORTBET, TOTOSI, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring QUALIFICHE | INFO1 PIAZZATO TRA I PRIMI INFO3 | SI
U/O  INFO1 - INFO2° TEMPO;Over;;;;NON_MAPPATO;famiglia non riconosciuta;626;165;STARCASINO, WILLIAMHILL;CALCIO | FINLANDIA - III DIVISIONE | Nurmijarven Jalkapalloseura - Abo IFK Turku | U/O INFO1 - INFO2° TEMPO | Over
VINCENTE;Leclerc C.;;;;NON_MAPPATO;famiglia non riconosciuta;529;529;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | Formula 1 Mondiale Piloti 2026 | VINCENTE | Leclerc C.
ENTRAMBE LE AUTO INFO1 PIAZZATE TRA I PRIMI INFO3;SI;;;;NON_MAPPATO;famiglia non riconosciuta;524;524;DOMUSBET;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring GARA | ENTRAMBE LE AUTO INFO1 PIAZZATE TRA I PRIMI INFO3 | SI
U/O;Under;;;;NON_MAPPATO;famiglia non riconosciuta;496;175;STARCASINO, WILLIAMHILL;CALCIO | POLONIA - I DIVISIONE | MKS Pogon Szczecin - Legia Varsavia | U/O | Under
CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE);SI;;;;NON_MAPPATO;famiglia non riconosciuta;487;138;MARATHON, WILLIAMHILL;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE) | SI
1X + U/O INFO1;1X + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;486;164;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | SVEZIA - I DIVISIONE | Vasteraas SK - Orgryte IS | 1X + U/O INFO1 | 1X + OVER
1X + UNDER/OVER;1X + OV;;;;NON_MAPPATO;famiglia non riconosciuta;459;177;BBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ITALIA - I DIVISIONE | Atalanta - Sassuolo Calcio | 1X + UNDER/OVER | 1X + OV
U/O INFO1 INFO2 °T;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;406;70;ADMIRAL;CALCIO | GARA AMICHEVOLE | Bournemouth - St. Pauli | U/O INFO1 INFO2 °T | OVER
U/O + GG/NG;GG+OV;;;;NON_MAPPATO;famiglia non riconosciuta;386;108;BBET, DOMUSBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ISLANDA - I DIVISIONE | Vikingur Reykjavik - Keflavik IF | U/O + GG/NG | GG+OV
U/O TEMPO;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;385;97;MARATHON;CALCIO | RUSSIA - CAMPIONATO U21 | CSKA Mosca Juniores - Ural Ekaterinburg | U/O TEMPO | OVER
CAMBIO SQUADRA SI/NO;SI;;;;NON_MAPPATO;famiglia non riconosciuta;370;158;360BET, BBET, DOMUSBET, SPORTBET;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA SI/NO | SI
CASA SEGNA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;358;107;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;CALCIO | DANIMARCA - II DIVISIONE | Aalborg - Hillerod Fodbold | CASA SEGNA | SI
DC 12;12;;;;NON_MAPPATO;famiglia non riconosciuta;344;141;360BET, BBET, SPORTBET, TOTOSI;CALCIO | GARA AMICHEVOLE | Cremonese - Giana Erminio | DC 12 | 12
MULTIGOL INFO1/INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;332;56;ADMIRAL;CALCIO | GARA AMICHEVOLE | Eintracht Braunschweig - Southampton | MULTIGOL INFO1/INFO2 | SI
GG/NG+U/O INFO1;GG+OV;;;;NON_MAPPATO;famiglia non riconosciuta;307;85;ADMIRAL;CALCIO | COREA DEL SUD - II DIVISIONE | Daegu - Suwon | GG/NG+U/O INFO1 | GG+OV
GG/NG TEMPO INFO1;GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;295;131;BBET, DOMUSBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | SVIZZERA - II DIVISIONE | Neuchatel Xamax FCS - Kriens | GG/NG TEMPO INFO1 | GOAL
OV INFO1 1°T + OV INFO2 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;288;51;DOMUSBET;CALCIO | FRANCIA - I DIVISIONE | Le Havre - Monaco | OV INFO1 1°T + OV INFO2 2°T | SI
T/T (ESCLUSO RITIRO);2;;;;NON_MAPPATO;famiglia non riconosciuta;275;133;ADMIRAL;TENNIS | TORNEO DI ESTORIL | Torres, Tiago - Gaston, Hugo | T/T (ESCLUSO RITIRO) | 2
CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE);Si;;;;NON_MAPPATO;famiglia non riconosciuta;271;78;STARCASINO;CALCIO | CALCIOMERCATO | Sessione Estiva 2026 | CAMBIO SQUADRA SI/NO INFO AGG (LEGABILE) | Si
D.C. IN+U/O INFO1;1X+OV;;;;NON_MAPPATO;famiglia non riconosciuta;262;92;ADMIRAL;CALCIO | IRLANDA - I DIVISIONE | St Patricks - Dundalk | D.C. IN+U/O INFO1 | 1X+OV
OSPITE SEGNA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;257;101;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Anversa - Olympiakos | OSPITE SEGNA | SI
X2 + U/O INFO1;X2 + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;239;100;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | REP. CECA - COPPA | Tatran Vsechovice - TJ Unie Hlubina | X2 + U/O INFO1 | X2 + OVER
GG/NG;NG;;;;NON_MAPPATO;famiglia non riconosciuta;230;110;ADMIRAL, DOMUSBET;CALCIO | MONDO - MONDIALI | Spagna - Austria | GG/NG | NG
G2 VINCE ALMENO 1 SET;SI;;;;NON_MAPPATO;famiglia non riconosciuta;225;151;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, WILLIAMHILL;TENNIS | TORNEO DI ESTORIL | Burruchaga, Roman Andres - Blockx, Alexander | G2 VINCE ALMENO 1 SET | SI
U/O INFO1;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;223;74;DOMUSBET;CALCIO | GEORGIA - COPPA | FC Margveti 2006 - Iberia | U/O INFO1 | UNDER
GG/NG;NOGOAL;;;;NON_MAPPATO;famiglia non riconosciuta;222;127;360BET, BBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | GEORGIA - COPPA | FC Margveti 2006 - Iberia | GG/NG | NOGOAL
G1 VINCE ALMENO 1 SET;SI;;;;NON_MAPPATO;famiglia non riconosciuta;215;147;BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI, WILLIAMHILL;TENNIS | TORNEO DI AMBURGO | Sherif Ahmed Abdelaziz, Maiar - Badosa, Paula | G1 VINCE ALMENO 1 SET | SI
DRAW NO BET;2;;;;NON_MAPPATO;famiglia non riconosciuta;212;131;360BET, ADMIRAL, BBET, MARATHON, SPORTBET, STARCASINO, TOTOSI, WILLIAMHILL;CALCIO | BULGARIA - II DIVISIONE | Beroe Stara Zagora - FK Hebar Pazardzhik | DRAW NO BET | 2
DRAW NO BET;1;;;;NON_MAPPATO;famiglia non riconosciuta;207;99;360BET, ADMIRAL, BBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;CALCIO | REP. CECA - COPPA | MFK Kravare - FK Bospor Bohumin | DRAW NO BET | 1
MULTIGOL CASA INFO1-INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;195;53;DOMUSBET;CALCIO | BULGARIA - I DIVISIONE | FC Arda Kardzhali - PFC Slavia Sofia | MULTIGOL CASA INFO1-INFO2 | SI
T/T (ESCLUSO RITIRO);1;;;;NON_MAPPATO;famiglia non riconosciuta;190;117;ADMIRAL;TENNIS | TORNEO DI KITZBUHEL | Bublik, Alexander - Etcheverry, Tomas Martin | T/T (ESCLUSO RITIRO) | 1
X2 + UNDER/OVER;X2 + OV;;;;NON_MAPPATO;famiglia non riconosciuta;190;105;BBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | SVIZZERA - II DIVISIONE | Etoile Carouge FC - Aarau | X2 + UNDER/OVER | X2 + OV
MG INFO1-INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;170;39;MARATHON;CALCIO | FINLANDIA - I DIVISIONE | Jaro - Seinajoen | MG INFO1-INFO2 | SI
1X+U/O INFO1;1X + OV;;;;NON_MAPPATO;famiglia non riconosciuta;168;88;DOMUSBET;CALCIO | IRLANDA - I DIVISIONE | St Patricks - Dundalk | 1X+U/O INFO1 | 1X + OV
MULTIGOAL;Si;;;;NON_MAPPATO;famiglia non riconosciuta;168;48;STARCASINO;CALCIO | GARA AMICHEVOLE | Benfica - CF Os Belenenses | MULTIGOAL | Si
U/O INFO1 - SQ. INFO2;Over;;;;NON_MAPPATO;famiglia non riconosciuta;166;59;STARCASINO, WILLIAMHILL;CALCIO | SVEZIA - I DIVISIONE | Sirius - Goteborg | U/O INFO1 - SQ. INFO2 | Over
MULTIGOAL CASA;Si;;;;NON_MAPPATO;famiglia non riconosciuta;164;54;STARCASINO;CALCIO | ARGENTINA - CAMP. RISERVE I DIV. | CA Sarmiento de Junin - CD Godoy Cruz | MULTIGOAL CASA | Si
U/O INFO1 GAMES;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;161;83;DOMUSBET, STANLEYBET;TENNIS | TORNEO DEL PORTOGALLO | Burruchaga, Roman Andres - Blockx, Alexander | U/O INFO1 GAMES | OVER
GG O OV INFO1;SI;;;;NON_MAPPATO;famiglia non riconosciuta;154;23;ADMIRAL;CALCIO | FINLANDIA - I DIVISIONE | Jaro - Seinajoen | GG O OV INFO1 | SI
GG/NG INFO1° T;GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;153;37;ADMIRAL;CALCIO | FINLANDIA - IV DIVISIONE | PPJ Helsinki - Union Plaani | GG/NG INFO1° T | GOAL
RIGORE;No;;;;NON_MAPPATO;famiglia non riconosciuta;150;5;STARCASINO;CALCIO | NORVEGIA - I DIVISIONE | Sandefjord - Bodo Glimt | RIGORE | No
D.C. OUT+U/O INFO1;X2+OV;;;;NON_MAPPATO;famiglia non riconosciuta;148;65;ADMIRAL;CALCIO | IRLANDA - II DIVISIONE | Cobh Ramblers - Bray Wanderers | D.C. OUT+U/O INFO1 | X2+OV
MULTIGOL 1°T + MULTIGOL 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;147;28;BBET, SPORTBET, STANLEYBET;CALCIO | ITALIA - I DIVISIONE | Roma - Fiorentina | MULTIGOL 1°T + MULTIGOL 2°T | SI
MULTIGOL CASA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;147;48;BBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Rosenborg - Manchester United | MULTIGOL CASA | SI
1X + U/O INFO1;1X + UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;138;64;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | PERU - I DIVISIONE | Universitario - Cusco FC | 1X + U/O INFO1 | 1X + UNDER
DC IN FIN.+GG/NG 1°T;1X FIN.+NG 1°T;;;;NON_MAPPATO;famiglia non riconosciuta;133;10;ADMIRAL;CALCIO | AUSTRIA - I DIVISIONE | Salisburgo - Hartberg | DC IN FIN.+GG/NG 1°T | 1X FIN.+NG 1°T
T/T INFO1 - INFO2;1;;;;NON_MAPPATO;famiglia non riconosciuta;132;53;STARCASINO;CICLISMO | TOUR DE FRANCE | Tour de France 2026 | T/T INFO1 - INFO2 | 1
OSPITE U/O 1°T + 2°T;OV + OV;;;;NON_MAPPATO;famiglia non riconosciuta;122;122;BBET, SPORTBET;CALCIO | AUSTRIA - COPPA | Leoben - Voitsberg | OSPITE U/O 1°T + 2°T | OV + OV
VINCENTE;Tadej Pogacar;;;;NON_MAPPATO;famiglia non riconosciuta;122;121;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, WILLIAMHILL;CICLISMO | TOUR DE FRANCE | Tour De France 2026 Tappa 19 | VINCENTE | Tadej Pogacar
1X + UNDER/OVER;1X + UN;;;;NON_MAPPATO;famiglia non riconosciuta;119;47;BBET, SPORTBET, STANLEYBET, TOTOSI;CALCIO | IRLANDA - I DIVISIONE | St Patricks - Dundalk | 1X + UNDER/OVER | 1X + UN
VINCENTE;Antonelli A.;;;;NON_MAPPATO;famiglia non riconosciuta;119;119;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | Formula 1 Mondiale Piloti 2026 | VINCENTE | Antonelli A.
VINCENTE;Celtic;;;;NON_MAPPATO;famiglia non riconosciuta;119;119;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | SCOZIA - I DIVISIONE | Premiership 2026/27 | VINCENTE | Celtic
VINCENTE;Inter;;;;NON_MAPPATO;famiglia non riconosciuta;119;117;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | Serie A | Serie A 2026/27 | VINCENTE | Inter
VINCENTE;Real Madrid;;;;NON_MAPPATO;famiglia non riconosciuta;119;110;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | SPAGNA - I DIVISIONE | Liga 2026/2027 | VINCENTE | Real Madrid
12 + U/O INFO1;12 + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;116;30;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | FINLANDIA - V DIVISIONE | Nops - FC Haka J | 12 + U/O INFO1 | 12 + OVER
VINCENTE;PSG;;;;NON_MAPPATO;famiglia non riconosciuta;113;111;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | EUROPA - CHAMPIONS LEAGUE | UEFA Champions League 26/27 | VINCENTE | PSG
VINCENTE;Hamilton L.;;;;NON_MAPPATO;famiglia non riconosciuta;112;112;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | Formula 1 Mondiale Piloti 2026 | VINCENTE | Hamilton L.
RIS. ESATTO MULTI ESITI 5;1-1 / 2-1 / 1-2 / 2-2;;;;NON_MAPPATO;famiglia non riconosciuta;111;23;ADMIRAL;CALCIO | MONDO - MONDIALI | Argentina - Svizzera | RIS. ESATTO MULTI ESITI 5 | 1-1 / 2-1 / 1-2 / 2-2
OV INFO1 1°T+OV INFO2 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;110;14;ADMIRAL;CALCIO | GARA AMICHEVOLE | Galatasaray - AC Monza | OV INFO1 1°T+OV INFO2 2°T | SI
VINCENTE;Bayern Monaco;;;;NON_MAPPATO;famiglia non riconosciuta;109;104;ADMIRAL, BBET, DOMUSBET, SPORTBET, STANLEYBET, STARCASINO;CALCIO | GERMANIA - I DIVISIONE | Bundesliga 2026/2027 | VINCENTE | Bayern Monaco
VINCENTE;Napoli;;;;NON_MAPPATO;famiglia non riconosciuta;109;109;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI;CALCIO | Serie A | Serie A 2026/27 | VINCENTE | Napoli
TOTALE CORNER (5 ESITI);15+;;;;NON_MAPPATO;famiglia non riconosciuta;105;52;BBET, DOMUSBET, SPORTBET, STANLEYBET;CALCIO | ROMANIA - I DIVISIONE | Champions FC Arges - Petrolul Ploiesti | TOTALE CORNER (5 ESITI) | 15+
VINCENTE;PSV;;;;NON_MAPPATO;famiglia non riconosciuta;102;102;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | OLANDA - I DIVISIONE | Eredivisie 2026/27 | VINCENTE | PSV
MULTIGOAL 1°T;Si;;;;NON_MAPPATO;famiglia non riconosciuta;98;14;STARCASINO;CALCIO | GARA AMICHEVOLE | Swansea City - Udinese | MULTIGOAL 1°T | Si
MULTIGOAL OSPITE;Si;;;;NON_MAPPATO;famiglia non riconosciuta;96;36;STARCASINO;CALCIO | AUSTRIA - COPPA | Atus Velden - Austria Klagenfurt | MULTIGOAL OSPITE | Si
GOAL SQUADRA 1;SI;;;;NON_MAPPATO;famiglia non riconosciuta;95;21;ADMIRAL;CALCIO | BULGARIA - II DIVISIONE | Beroe Stara Zagora - FK Hebar Pazardzhik | GOAL SQUADRA 1 | SI
U/O CORNER;OVER;;;;NON_MAPPATO;famiglia non riconosciuta;95;26;360BET, BBET, MARATHON, TOTOSI;CALCIO | SLOVACCHIA - I DIVISIONE | Spartak Trnava - MFK Skalica | U/O CORNER | OVER
VINCENTE;Man City;;;;NON_MAPPATO;famiglia non riconosciuta;95;92;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | INGHILTERRA - I DIVISIONE | Premier League 26/27 | VINCENTE | Man City
X2+U/O INFO1;X2 + OV;;;;NON_MAPPATO;famiglia non riconosciuta;93;58;DOMUSBET;CALCIO | GERMANIA - SUPERCOPPA | Borussia Dortmund - Bayern Monaco | X2+U/O INFO1 | X2 + OV
12 + GG/NG;12 + GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;91;22;BBET, MARATHON, SPORTBET, STANLEYBET, TOTOSI;CALCIO | ITALIA - I DIVISIONE | Bologna FC - Lazio | 12 + GG/NG | 12 + GOAL
MULTIGOAL INFO1-INFO2 CASA;SI;;;;NON_MAPPATO;famiglia non riconosciuta;90;21;MARATHON;CALCIO | ROMANIA - I DIVISIONE | Uta Arad - ASC Otelul Galati | MULTIGOAL INFO1-INFO2 CASA | SI
CLASSIFICATO SI/NO;NO;;;;NON_MAPPATO;famiglia non riconosciuta;89;27;360BET, ADMIRAL, BBET, DOMUSBET, SPORTBET, STANLEYBET;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | GP Hungaroring GARA | CLASSIFICATO SI/NO | NO
VINCENTE;Ferrari;;;;NON_MAPPATO;famiglia non riconosciuta;89;89;360BET, ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO, TOTOSI, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | Formula 1 Mondiale Costruttori 2026 | VINCENTE | Ferrari
MULTIGOL OSPITE INFO1-INFO2;SI;;;;NON_MAPPATO;famiglia non riconosciuta;88;41;DOMUSBET;CALCIO | SPAGNA - I DIVISIONE | Racing Santander - Villarreal | MULTIGOL OSPITE INFO1-INFO2 | SI
T/T INFO1 - INFO2;2;;;;NON_MAPPATO;famiglia non riconosciuta;88;42;STARCASINO;CICLISMO | TOUR DE FRANCE | Tour de France 2026 | T/T INFO1 - INFO2 | 2
VINCENTE;Palmeiras;;;;NON_MAPPATO;famiglia non riconosciuta;88;86;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | BRASILE - COPPA | Copa do Brasil 2026 | VINCENTE | Palmeiras
GG/NG - INFO1°T;GOAL;;;;NON_MAPPATO;famiglia non riconosciuta;86;28;MARATHON, STARCASINO, WILLIAMHILL;CALCIO | GARA AMICHEVOLE | Elche - Johor Darul Tazim | GG/NG - INFO1°T | GOAL
VINCENTE;Arsenal;;;;NON_MAPPATO;famiglia non riconosciuta;86;83;360BET, ADMIRAL, BBET, DOMUSBET, SPORTBET, STANLEYBET, STARCASINO;CALCIO | INGHILTERRA - I DIVISIONE | Premier League 26/27 | VINCENTE | Arsenal
U/O INFO1 TEMPO INFO2;UNDER;;;;NON_MAPPATO;famiglia non riconosciuta;85;18;BBET, STANLEYBET, TOTOSI;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Lommel SK - ADO Den Haag | U/O INFO1 TEMPO INFO2 | UNDER
MULTIGOAL INFO1-INFO2 1°T+MULTIGOL INFO3-INFO4 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;84;9;ADMIRAL;CALCIO | GARA AMICHEVOLE | Rosenborg - Manchester United | MULTIGOAL INFO1-INFO2 1°T+MULTIGOL INFO3-INFO4 2°T | SI
VINCENTE;Barcellona;;;;NON_MAPPATO;famiglia non riconosciuta;82;81;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | SPAGNA - COPPA | Copa del Rey 2026/2027 | VINCENTE | Barcellona
MULTIGOL 2°T;SI;;;;NON_MAPPATO;famiglia non riconosciuta;80;14;SPORTBET, STANLEYBET;CALCIO | Amichevoli di Club (Poss. Cambio Format) | Rosenborg - Manchester United | MULTIGOL 2°T | SI
