concessionario;nome_commerciale;payout_medio;payout_mediana;payout_p90;payout_p95;payout_p99;payout_massimo_osservato;ticket_vincenti_medio;ticket_vincenti_massimo;ticket_esclusi_compatibilita;num_ticket_compat;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;ticket_esclusi_montecarlo;importo_pagato_totale_compat;payout_potenziale_totale_compat;pct_incompatibili;pct_non_mappati;pct_correlati_misti;tail_ratio_p99_medio;tail_spread_p99_p95;tail_spread_p95_mediana;max_ratio_payout_medio;ticket_win_ratio_max_medio;compat_risk_score;cluster;cluster_label;risk_score_montecarlo;risk_score_commerciale
ADMIRAL;COGORNO IV NOVEMBRE;2657,7768;2116,5950000000003;5849,981000000001;6566,9915;8308,9556;15566,86;12,06;24;0;88;9;0;0;79;0;0;1689,5;84930,19;0,0;89,7727;0,0;3,126280431073068;1741,9640999999992;4450,3965;5,8570983086314845;1,990049751243781;1490,2269999999999;0;SAFE;8511,330158107306;10001,557158107305
ADMIRAL;SULMONA OVIDIO;4021,62823;3595,575;5609,76;6128,284999999999;10687,990500000002;13494,53;3,814;9;0;26;3;0;0;23;0;0;153,8;27041,35;0,0;88,4615;0,0;2,6576276793243023;4559,705500000003;2532,709999999999;3,355489177078907;2,3597273203985316;1057,115;0;SAFE;8816,936217932433;9874,051217932432
ADMIRAL;PESCARA PEPE;2008,37102;1683,315;3559,523;5842,068999999998;7620,7546;16199,18;9,059;27;0;84;8;0;0;76;0;0;911,85;42415,44;0,0;90,4762;0,0;3,794495401551851;1778,6856000000025;4158,753999999997;8,065830386260005;2,9804614195827357;1474,7620000000002;0;SAFE;8263,104630155183;9737,866630155184
ADMIRAL;PARTANNA PALERMO;1396,61321;995,525;2741,5760000000005;3958,475;7836,757599999991;17551,670000000002;2,401;15;0;52;0;0;0;52;0;0;442,0;74933,9;0,0;100,0;0,0;5,611258395586844;3878,282599999991;2962,95;12,56730916930107;6,247396917950854;1390,0;0;SAFE;8270,781629558682;9660,781629558682
ADMIRAL;STRIANO SARNO;2391,99193;2113,525;3322,914;4326,749499999999;8915,644099999998;14668,65;9,287;19;0;79;8;0;0;71;0;0;661,95;101791,8;0,0;89,8734;0,0;3,727288536462578;4588,894599999999;2213,224499999999;6,132399451698818;2,045870571766986;1431,234;0;SAFE;8049,403868646256;9480,637868646256
ADMIRAL;ANCONA MUSONE;1680,58;1319,005;2883,811;4995,779999999999;7566,846199999998;16012,59;4,657;11;0;46;3;0;0;43;0;0;520,3;227399,32;0,0;93,4783;0,0;4,502520677385188;2571,0661999999993;3676,7749999999987;9,528014137976175;2,362035645265192;1257,283;0;SAFE;7983,453547738519;9240,73654773852
ADMIRAL;MARTINSICURO COLOMBO;3988,28048;3985,05;5572,889;6727,772999999998;7854,558999999999;9923,08;13,824;22;0;97;9;0;0;88;0;0;1056,15;61291,61;0,0;90,7216;0,0;1,9694098846327879;1126,786000000001;2742,722999999998;2,488059716401892;1,5914351851851851;1567,216;0;SAFE;7115,323838463278;8682,539838463277
BBET;WWW.SOCIALGAME24.IT;1590,88441;1239,3249999999998;3316,3479999999995;3962,9585;7593,8755999999985;12233,58;6,093;14;0;57;7;0;0;50;0;0;373,9;42433,66;0,0;87,7193;0,0;4,773367286941984;3630,9170999999983;2723,6335000000004;7,689798154474341;2,2977186935828;1252,193;0;SAFE;7022,342593694198;8274,535593694198
ADMIRAL;ROMA GREGOROVIUS;444,27458;65,935;273,04;1397,6359999999966;7940,414199999999;8151,019999999999;1,338;5;0;14;0;0;0;14;0;0;119,25;29899,53;0,0;100,0;0,0;17,872762830590034;6542,7782000000025;1331,7009999999966;18,3468070579235;3,7369207772795217;1105,0;0;SAFE;6968,054963059003;8073,054963059003
ADMIRAL;CAZZAGO SAN MARTINO PERTINI;1147,8975;945,59;2112,1890000000003;2764,564;4340,851499999999;18016,6;5,856;24;0;77;8;0;0;69;0;0;549,75;64938,86;0,0;89,6104;0,0;3,7815671695425754;1576,287499999999;1818,9739999999997;15,695303805435588;4,098360655737705;1413,604;0;SAFE;6528,958316954257;7942,562316954257
BBET;www.mbet.it;779,71356;284,8;2016,9670000000003;2331,4700000000003;7587,969999999999;9984,93;2,883;8;0;25;2;0;0;23;0;0;145,7;17185,85;0,0;92,0;0,0;9,731740461202186;5256,499999999999;2046,6700000000003;12,80589502637353;2,774887270204648;1092,5;0;SAFE;6628,215546120219;7720,715546120219
ADMIRAL;POGGIOMARINO LOSCO;498,41101;201,135;789,2;1139,6199999999997;7173,227;7661,630000000001;2,524;8;0;33;2;0;0;31;0;0;83,6;27590,52;0,0;93,9394;0,0;14,392192098645655;6033,607;938,4849999999997;15,372112265336998;3,1695721077654517;1171,894;0;SAFE;6165,741009864566;7337,635009864566
ADMIRAL;VILLA LITERNO DEI MILLE;1335,5458500000002;798,965;3420,992;4407,428999999999;6179,9526;9099,89;4,171;13;0;60;5;0;0;55;0;0;375,1;72361,01;0,0;91,6667;0,0;4,627285989470147;1772,5236000000004;3608,463999999999;6,813611078945734;3,1167585710860704;1329,167;0;SAFE;5921,544888947014;7250,711888947015
ADMIRAL;MONTESARCHIO SAN GIOVANNI;515,9271100000001;90,06;704,83;5277,88;5605,4400000000005;6133,55;1,312;5;0;18;0;0;0;18;0;0;55,9;13678,8;0,0;100,0;0,0;10,864790570900606;327,5600000000004;5187,82;11,888404158486649;3,8109756097560976;1135,0;0;SAFE;5899,835057090061;7034,835057090061
ADMIRAL;GALATONE NIZZA;2097,33582;1972,24;3434,808;3956,553999999999;5682,768499999997;8350,69;7,12;21;0;109;6;0;0;103;0;0;1149,25;213417,86;0,0;94,4954;0,0;2,7095176870626267;1726,2144999999982;1984,3139999999992;3,981570295213859;2,9494382022471908;1717,4540000000002;0;SAFE;5308,3356687062615;7025,789668706262
ADMIRAL;VERONA ALBERE;862,0755300000001;715,0;1806,05;2082,592999999999;3408,1076;16793,22;3,733;12;0;46;4;0;0;42;0;0;389,45;137637,16;0,0;91,3043;0,0;3,9533747118422435;1325,5146000000009;1367,592999999999;19,47998686379603;3,2145727297080096;1228,0430000000001;0;SAFE;5697,872761184224;6925,915761184224
ADMIRAL;FONDI SAN MAGNO;1977,61215;1473,295;4122,706;4486,1945;5628,034099999998;7885,96;7,158;18;0;58;5;0;0;53;0;0;813,2;92699,67;0,0;91,3793;0,0;2,8458735450224646;1141,8395999999984;3012,8994999999995;3,987617086596075;2,5146689019279127;1311,2930000000001;0;SAFE;5324,541619502246;6635,834619502246
ADMIRAL;NOCERA INFERIORE NOCERA;1292,13394;1038,2;2147,925;2472,231999999997;4141,265299999995;13850,660000000002;3,668;12;0;55;14;0;0;41;0;0;355,6;49912,45;0,0;74,5455;0,0;3,204981443332411;1669,0332999999978;1434,0319999999967;10,719213830108048;3,271537622682661;1052,955;0;SAFE;5425,194264333239;6478,1492643332385
ADMIRAL;TRAPANI FARDELLA;796,20974;550,06;1707,5160000000003;2176,877499999999;3659,175099999999;8835,28;4,468;14;0;65;5;0;0;60;0;0;262,0;138978,94999999998;0,0;92,3077;0,0;4,595742699655997;1482,2975999999999;1626,8174999999992;11,09667409996768;3,1333930170098476;1373,077;0;SAFE;4304,5196849655995;5677,5966849656
ADMIRAL;FOLLONICA CASSARELLO;1189,36602;1080,655;1911,794;2195,909;3016,0792;10814,49;13,111;25;0;61;4;0;0;57;0;0;858,0;32592,99;0,0;93,4426;0,0;2,535871337571928;820,1702;1115,2540000000001;9,092650889757218;1,9067958203035618;1361,926;0;SAFE;4296,894063757193;5658,820063757194
ADMIRAL;MILANO POZZI;1830,0395;1691,28;2910,7050000000004;3404,8115;4312,0363;7303,17;6,664;17;0;46;5;0;0;41;0;0;514,0;19862,45;0,0;89,1304;0,0;2,3562531300553893;907,2248;1713,5314999999998;3,990717140258448;2,5510204081632653;1198,804;0;SAFE;4357,276708005539;5556,080708005539
ADMIRAL;MODENA FUSCO;165,0708;0,0;42,07;42,07;80,92;21651,24;0,31;2;0;4;0;0;0;4;0;0;10,0;22350,41;0,0;100,0;0,0;0,4902138960979168;38,85;42,07;131,16335536024545;6,451612903225807;1030,0;0;SAFE;4432,154889609793;5462,154889609793
ADMIRAL;PESCANTINA BRENNERO;1360,67585;1250,615;2564,72;2983,654;3868,9290999999994;4960,68;8,286;20;0;102;5;0;0;97;0;0;738,0;43886,69;0,0;95,098;0,0;2,8433877914420242;885,2750999999994;1733,039;3,645747074881942;2,413709872073377;1678,48;0;SAFE;3669,959919144202;5348,439919144203
ADMIRAL;L''AQUILA SARAGAT;302,22944;0,0;2500,0;2500,0;3250,0;5750,0;0,322;3;0;6;0;0;0;6;0;0;116,0;7261,65;0,0;100,0;0,0;10,753419653624743;750,0;2500,0;19,025280925643774;9,316770186335404;1045,0;0;SAFE;4165,341965362474;5210,341965362474
ADMIRAL;AVIGLIANO PORTA POTENZA;524,75474;345,44;847,5400000000004;1975,33;2429,8806;9385,71;3,311;10;0;35;0;0;0;35;0;0;222,55;59330,86;0,0;100,0;0,0;4,63050719656196;454,55060000000003;1629,8899999999999;17,88589846753933;3,020235578375113;1262,5;0;SAFE;3855,977459656196;5118,4774596561965
ADMIRAL;ROCCAPIEMONTE GARGIULO;1280,19658;1003,72;2238,589;2592,480499999998;4367,335699999998;5959,24;5,455;11;0;27;2;0;0;25;0;0;369,2;17151,35;0,0;92,5926;0,0;3,4114570904415302;1774,8552;1588,7604999999978;4,6549413528350465;2,016498625114574;1113,426;0;SAFE;3983,048114044152;5096,474114044152
ADMIRAL;MANZIANA BRACCIANESE CLAUDIA;1403,37303;1283,075;2168,251;2517,3915;3173,7749;8292,369999999999;7,787;16;0;35;1;0;0;34;0;0;426,75;33597,74;0,0;97,1429;0,0;2,2615333429914926;656,3833999999997;1234,3165000000001;5,908885109470858;2,054706562219083;1226,429;0;SAFE;3863,485169299149;5089,914169299149
SPORTBET;WWW.STARGAME.IT;1453,71966;1309,515;2445,699;3033,676;4144,443899999999;4889,14;11,462;21;0;57;5;0;0;52;0;0;588,9;39768,18;0,0;91,2281;0,0;2,8509237468797797;1110,7678999999994;1724,1609999999998;3,363193148258035;1,8321409876112371;1302,281;0;SAFE;3784,116934687978;5086,397934687978
ADMIRAL;GIULIANELLO LECCI;698,25472;465,18;1529,9580000000003;1760,761;2323,1956;10246,32;2,392;10;0;21;1;0;0;20;0;0;194,5;58338,3;0,0;95,2381;0,0;3,32714628839172;562,4346;1295,581;14,674186520357498;4,1806020066889635;1102,381;0;SAFE;3801,4471188391726;4903,828118839173
ADMIRAL;CASCIA ROMA;720,01247;602,19;1697,764;2053,2045;3094,6359;5722,06;3,654;11;0;26;0;0;0;26;0;0;353,5;38623,56;0,0;100,0;0,0;4,2980309771579375;1041,4314000000004;1451,0144999999998;7,947167915022361;3,0103995621237;1195,0;0;SAFE;3380,370582715794;4575,370582715794
ADMIRAL;TEVEROLA CARINARO;1300,2197;1282,14;1947,18;2287,56;3736,8203;4714,62;5,995;16;0;47;6;0;0;41;0;0;237,0;19946,17;0,0;87,234;0,0;2,873991449291223;1449,2603;1005,4199999999998;3,626017972193468;2,6688907422852375;1179,84;0;SAFE;3376,9412649291226;4556,781264929123
ADMIRAL;MILANO CUOCO;585,94146;437,5;1368,0;1588,1499999999994;2433,3016;7858,040000000001;2,426;8;0;21;0;0;0;21;0;0;475,15;57810,53;0,0;100,0;0,0;4,152806664338106;845,1516000000004;1150,6499999999994;13,410964296672232;3,297609233305853;1157,5;0;SAFE;3397,246806433811;4554,746806433811
ADMIRAL;CAVA DE TIRRENI CORTE;545,26301;430,0;1180,0;1540,999999999999;3630,0;4430,0;1,692;6;0;11;0;0;0;11;0;0;365,6;7070,7;0,0;100,0;0,0;6,657337713042372;2089,000000000001;1110,999999999999;8,124519578175677;3,546099290780142;1082,5;0;SAFE;3418,983771304237;4501,483771304237
ADMIRAL;SARNO ACQUAROSSA;83,56058999999999;27,86;185,35;232,33;478,6683;11991,37;1,19;5;0;14;0;0;0;14;0;0;58,5;14022,28;0,0;100,0;0,0;5,728397800925054;246,33829999999998;204,47000000000003;143,50509013878434;4,201680672268908;1105,0;0;SAFE;3245,663600092506;4350,663600092506
ADMIRAL;TARQUINIA MORO;447,44496;196,43;1446,43;2648,9300000000003;2809,2007;3898,93;1,956;8;0;14;1;0;0;13;0;0;455,5;4604,08;0,0;92,8571;0,0;6,278315661439119;160,27069999999958;2452,5000000000005;8,713764481781178;4,08997955010225;1026,071;0;SAFE;3233,530346143912;4259,601346143912
ADMIRAL;SPINETOLI DE GASPERI;271,6415;252,03;650,0;857,27;1232,27;9700,4;0,827;5;0;11;0;0;0;11;0;0;217,0;21894,0;0,0;100,0;0,0;4,536383431839391;375,0;605,24;35,710301997301585;6,045949214026603;1082,5;0;SAFE;3125,943843183939;4208,443843183939
ADMIRAL;MILANO NOVARA;498,30764;620,12;893,646;1131,248999999999;3031,101199999999;5080,12;1,296;7;0;16;1;0;0;15;0;0;217,0;13357,95;0,0;93,75;0,0;6,082790944164531;1899,8522000000003;511,1289999999989;10,19474636190607;5,401234567901234;1050,0;0;SAFE;3154,5558244164527;4204,555824416453
ADMIRAL;PALMA CAMPANIA TRIESTE;1270,85159;1452,0;1830,573;2062,42;3060,3561999999997;5315,98;2,804;7;0;17;1;0;0;16;0;0;630,0;24315,42;0,0;94,1176;0,0;2,4081145462468987;997,9361999999996;610,4200000000001;4,183006136853478;2,4964336661911557;1061,176;0;SAFE;3078,7549346246897;4139,93093462469
ADMIRAL;NUORO MANNIRONI;705,29417;519,2850000000001;1568,457;1882,346;2690,4544;4418,03;4,659;13;0;31;3;0;0;28;0;0;442,0;9879,02;0,0;90,3226;0,0;3,8146556634659268;808,1084000000001;1363,061;6,264095448286493;2,7902983472848253;1113,2259999999999;0;SAFE;2876,8398263465933;3990,065826346593
ADMIRAL;TORINO BELLI;310,62025;99,75;1350,0;1420,1609999999998;2041,1345999999996;5348,91;1,473;6;0;16;2;0;0;14;0;0;180,5;10329,88;0,0;87,5;0,0;6,571157546875967;620,9735999999998;1320,4109999999998;17,220094311301338;4,0733197556008145;980,0;0;SAFE;2928,391844687597;3908,391844687597
ADMIRAL;L''AQUILA STRADA STATALE 17;1866,53454;1748,99;2155,66;2301,7934999999998;2626,798999999997;3266,83;3,181;7;0;20;0;0;0;20;0;0;1200,8;6056,780000000001;0,0;100,0;0,0;1,4073133626554784;325,005499999997;552,8034999999998;1,750211383712192;2,200565859792518;1150,0;0;SAFE;2455,265311265546;3605,265311265546
ADMIRAL;SALERNO POSIDONIA;564,2538900000001;367,58;1215,34;1611,9674999999995;2230,9642;2948,86;4,187;11;0;60;8;0;0;52;0;0;235,2;44518,01;0,0;86,6667;0,0;3,953830429064476;618,9967000000004;1244,3874999999996;5,226122588184549;2,6271793647002624;1256,667;0;SAFE;2335,5325979064473;3592,1995979064473
ADMIRAL;SAN GIOVANNI TEATINO AMENDOLA;291,28245000000004;87,91;826,1;1073,3989999999994;1828,5736;3768,41;3,377;8;0;27;1;0;0;26;0;0;164,3;13181,48;0,0;96,2963;0,0;6,2776648575978395;755,1746000000005;985,4889999999995;12,937305354304728;2,368966538347646;1157,963;0;SAFE;2421,227675759784;3579,1906757597835
ADMIRAL;AFRAGOLA ITALIA;10,75;0,0;0,0;0,0;250,0;500,0;0,043;2;0;2;0;0;0;2;0;0;10,0;500,0;0,0;100,0;0,0;23,25581395348837;250,0;0,0;46,51162790697674;46,51162790697675;1015,0;0;SAFE;2535,5813953488373;3550,5813953488373
ADMIRAL;LONATO MANTOVA;1124,90982;980,89;1607,41;1766,2679999999996;2579,35;3654,1;4,354;8;0;22;3;0;0;19;0;0;519,05;11188,8;0,0;86,3636;0,0;2,2929393575744585;813,0820000000003;785,3779999999996;3,248349276566898;1,8373909049150206;1006,1360000000001;0;SAFE;2473,420935757446;3479,556935757446
ADMIRAL;CIVITANOVA MARCHE SONNINO;730,29015;638,125;1596,4340000000002;1798,2369999999994;2227,303;3281,54;4,687;10;0;24;3;0;0;21;0;0;600,0;7623,0;0,0;87,5;0,0;3,049887774058023;429,0660000000005;1160,1119999999994;4,493474271835653;2,1335609131640707;1032,5;0;SAFE;2351,777227405802;3384,277227405802
ADMIRAL;RIANO RIANESE;184,606;0,0;500,0;1000,0;1551,4999999999986;2000,0;0,588;5;0;14;0;0;0;14;0;0;173,2;6525,37;0,0;100,0;0,0;8,404385556265769;551,4999999999986;1000,0;10,833884055772835;8,503401360544219;1105,0;0;SAFE;2136,0385556265765;3241,0385556265765
ADMIRAL;GROTTAMMARE DALLA CHIESA;316,69682;122,54;1050,0;1172,54;1835,53;2063,98;1,82;8;0;17;0;0;0;17;0;0;168,5;96441,99;0,0;100,0;0,0;5,795858638555322;662,99;1050,0;6,517211003255416;4,395604395604395;1127,5;0;SAFE;2059,7288638555324;3187,2288638555324
ADMIRAL;GATTINARA MARCONI;490,31336;463,38;1039,595;1231,2964999999997;1965,7685;2814,13;2,342;7;0;25;2;0;0;23;0;0;192,95;6616,4;0,0;92,0;0,0;4,009208519221259;734,4720000000002;767,9164999999997;5,739452010852815;2,9888983774551665;1092,5;0;SAFE;2092,878376922126;3185,378376922126
BBET;www.Q365.it;14,4942;0,0;13,65;13,65;283,72;2709,51;0,192;2;0;3;2;0;0;1;0;0;22,0;3006,880000000001;0,0;33,3333;0,0;19,57472644230106;270,07000000000005;13,65;186,93753363414334;10,416666666666666;340,833;0;SAFE;2626,275144230106;2967,108144230106
ADMIRAL;CREVOLADOSSOLA SEMPIONE;567,96348;528,6700000000001;1108,67;1366,01;1757,9525999999994;2545,3;2,218;8;0;17;2;0;0;15;0;0;356,7;5925,89;0,0;88,2353;0,0;3,0951859792111973;391,9425999999994;837,3399999999999;4,481450110137363;3,606853020739405;994,853;0;SAFE;1903,2621379211196;2898,1151379211196
BBET;WWW.UNIONSBET.IT;426,85879;205,67;1004,41;1200,8814999999995;1870,2335;2290,54;4,362;9;0;16;4;0;0;12;0;0;305,6;5654,42;0,0;75,0;0,0;4,38138687503659;669,3520000000005;995,2114999999995;5,366036857294189;2,063273727647868;840,0;0;SAFE;1989,560462503659;2829,560462503659
ADMIRAL;GUALDO TADINO FLAMINIA;283,96903;210,6;647,3059999999999;780,7145;1103,5468999999996;3507,58;2,262;10;0;27;4;0;0;23;0;0;156,0;9489,21;0,0;85,1852;0,0;3,886152303298707;322,83239999999955;570,1145;12,351980777622124;4,420866489832007;1024,3519999999999;0;SAFE;1776,7286153298705;2801,0806153298704
ADMIRAL;ROMA CAPITOLINO;240,46857;94,89;741,6900000000004;868,0149999999999;1085,1399999999996;2496,88;2,314;7;0;16;0;0;0;16;0;0;193,6;5453,93;0,0;100,0;0,0;4,512606366811262;217,12499999999977;773,1249999999999;10,38339438705025;3,025064822817632;1120,0;0;SAFE;1636,6963866811261;2756,696386681126
ADMIRAL;VERONA SAN MICHELE;196,02168;40,0;1000,0;1101,3904999999988;1167,81;1227,81;0,699;3;0;5;0;0;0;5;0;0;127,0;1307,81;0,0;100,0;0,0;5,957555307147658;66,41950000000111;1061,3904999999988;6,26364389898097;4,291845493562232;1037,5;0;SAFE;1598,7891557147655;2636,2891557147655
ADMIRAL;TORINO ALA DI STURA;683,0197;578,67;903,67;1028,67;1439,48;1953,67;1,557;5;0;15;0;0;0;15;0;0;120,0;5611,78;0,0;100,0;0,0;2,10752339939829;410,80999999999995;450,0000000000001;2,8603420955500996;3,2113037893384715;1112,5;0;SAFE;1459,445839939829;2571,945839939829
ADMIRAL;PIEVE EMANUELE PINI;187,9427;83,94;431,2750000000005;612,7729999999996;991,1667999999992;1929,86;1,203;6;0;17;1;0;0;16;0;0;95,05;11134,18;0,0;94,1176;0,0;5,273771207926667;378,3937999999996;528,8329999999996;10,26834242564356;4,987531172069825;1061,176;0;SAFE;1493,0090907926663;2554,1850907926664
ADMIRAL;PALERMO FEDERICO;255,69977;199,9;531,756;663,5975;1031,192499999999;2468,15;1,704;8;0;26;7;0;0;19;0;0;132,2;21561,59;0,0;73,0769;0,0;4,032825293507299;367,594999999999;463,6975;9,652531169660419;4,694835680751174;873,269;0;SAFE;1515,2889043507296;2388,5579043507296
ADMIRAL;TORINO SETTIMO;87,46875;0,0;285,7;353,2244999999965;796,2399999999988;1004,25;0,344;4;0;5;2;0;0;3;0;0;38,5;1772,5;0,0;60,0;0,0;9,103136834583765;443,01550000000225;353,2244999999965;11,481243301178992;11,627906976744187;622,5;0;SAFE;1537,9658084583752;2160,4658084583752
ADMIRAL;TORINO ALTESSANO;153,49963;122,62;341,35;523,06;850,27;1438,96;0,82;4;0;11;5;0;0;6;0;0;61,0;4152,78;0,0;54,5455;0,0;5,539231592936087;327,21000000000004;400,43999999999994;9,374354843721774;4,878048780487805;590,4549999999999;0;SAFE;1332,5881592936087;1923,0431592936086
ADMIRAL;RIGNANO FLAMINIO FLAMINIA;51,96263;9,89;185,36;209,89;375,47;385,36;0,756;3;0;3;2;0;0;1;0;0;33,0;385,36;0,0;33,3333;0,0;7,225769750299399;165,58000000000004;200,0;7,416098838723137;3,9682539682539684;340,833;0;SAFE;1017,3094750299399;1358,14247502994
ADMIRAL;WWW.ADMIRALBET.IT;242891,99995;239757,275;307595,664;331227,2915;366012,9941;438681,85;1120,016;1466;2;3794;941;3;1;2847;2;2;69547,05;5008401,31;0,0527;75,0395;0,1054;1,506896045054365;34785,70260000002;91470,0165;1,8060778044987231;1,308909872716104;43605,53;3;WATCH;324429,0801195054;368034,61011950544
BBET;WWW.BGAME.IT;44884,551;42109,1;64395,67700000001;71897,30549999999;87975,53559999997;113955,88;186,306;290;2;1275;147;0;3;1123;2;2;17625,35;1929052,07;0,1569;88,0784;0,2353;1,9600404513348029;16078,230099999986;29788,20549999999;2,53886643535768;1,5565789614934569;33809,1665;3;WATCH;77601,72066013348;111410,88716013348
ADMIRAL;GROSSETO AQUILEIA;2431,90726;1874,06;4581,086;6169,348499999999;9448,587099999995;26288,08;11,409;27;1;160;11;0;3;145;1;1;1071,6;283054,1;0,625;90,625;1,875;3,8852579847144315;3279,238599999996;4295,288499999999;10,809655628068647;2,3665527215356295;16540,625;3;WATCH;11102,91376347144;27643,538763471443
