concessionario;nome_commerciale;num_ticket;ticket_calcolati;ticket_esclusi_incompatibili;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;somma_importo_pagato;somma_vincita_potenziale;somma_valore_atteso
ADMIRAL;ROMA GREGOROVIUS;7;7;0;0;0;0;7;0;220,0;1130,75;220,0
ADMIRAL;L''AQUILA SARAGAT;6;6;0;0;0;0;6;0;219,0;7942,0;219,0
ADMIRAL;TORINO ALA DI STURA;11;11;0;0;0;0;11;0;215,0;3206,54;214,996524
ADMIRAL;CAVA DE TIRRENI CORTE;9;9;0;1;0;0;8;0;205,0;8196,130000000001;201,832549
ADMIRAL;VITERBO FALCONE E BORSELLINO;21;21;0;3;0;0;18;0;206,0;4821,61;196,032695
ADMIRAL;CASCIA ROMA;14;14;0;2;0;0;12;0;175,0;3621,63;175,027607
ADMIRAL;AVIGLIANO PORTA POTENZA;19;19;0;0;0;0;19;0;176,3;3959,2799999999997;170,000022
ADMIRAL;TORRE DEL GRECO PALOMBA;21;21;0;2;0;0;19;0;158,2;9427,82;158,599368
ADMIRAL;LONATO MANTOVA;10;10;0;1;0;0;9;0;134,5;3995,23;135,198071
ADMIRAL;SULMONA OVIDIO;20;20;0;7;0;0;13;0;136,7;10496,43;134,806497
ADMIRAL;L''AQUILA STRADA STATALE 17;15;15;0;3;0;0;12;0;129,35;2457,05;125,478016
BBET;www.mbet.it;14;14;0;3;0;0;11;0;116,0;2068,4700000000003;116,483817
ADMIRAL;NOCERA INFERIORE NOCERA;34;34;0;9;0;0;25;0;98,5;133209,61;101,939644
ADMIRAL;PALMA CAMPANIA TRIESTE;2;2;0;1;0;0;1;0;101,0;3001,23;101,0
ADMIRAL;SAN GIOVANNI TEATINO AMENDOLA;8;8;0;0;0;0;8;0;99,0;1320,49;79,021457
ADMIRAL;SARNO ACQUAROSSA;8;8;0;0;0;0;8;0;65,0;3843,3799999999997;65,279764
