concessionario;nome_commerciale;num_ticket;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;ticket_esclusi_montecarlo;importo_pagato_totale;payout_potenziale_totale;pct_incompatibili;pct_non_mappati;pct_correlati_misti
ADMIRAL;NOCERA INFERIORE NOCERA;35;9;0;0;26;0;0;454,4;53765,28;0,0;74,2857;0,0
ADMIRAL;CIVITANOVA MARCHE SONNINO;27;1;0;0;26;0;0;114,5;9728,38;0,0;96,2963;0,0
ADMIRAL;CREVOLADOSSOLA SEMPIONE;26;0;0;0;26;0;0;474,9;8635,55;0,0;100,0;0,0
ADMIRAL;NUORO MANNIRONI;30;5;0;0;25;0;0;381,0;88653,03;0,0;83,3333;0,0
ADMIRAL;POGGIOMARINO LOSCO;27;2;0;0;25;0;0;87,1;44638,1;0,0;92,5926;0,0
ADMIRAL;CAMPOFRANCO GRANDE;33;1;3;5;24;0;0;388,2;67393,84;0,0;72,7273;24,2424
ADMIRAL;MILANO CUOCO;24;0;0;0;24;0;0;306,9;39774,61;0,0;100,0;0,0
ADMIRAL;AVIGLIANO PORTA POTENZA;26;2;0;0;24;0;0;241,0;17900,649999999998;0,0;92,3077;0,0
ADMIRAL;TEVEROLA CARINARO;31;7;0;0;24;0;0;277,5;13877,05;0,0;77,4194;0,0
ADMIRAL;SAN GIOVANNI TEATINO SALARA;23;0;0;0;23;0;0;4194,0;14847,04;0,0;100,0;0,0
ADMIRAL;L''AQUILA STRADA STATALE 17;23;0;0;0;23;0;0;1107,75;6935,9800000000005;0,0;100,0;0,0
ADMIRAL;GIULIANELLO LECCI;24;1;0;0;23;0;0;647,0;6417,48;0,0;95,8333;0,0
ADMIRAL;PALERMO FEDERICO;27;6;0;0;21;0;0;209,15;19181,57;0,0;77,7778;0,0
ADMIRAL;MANZIANA BRACCIANESE CLAUDIA;22;1;0;0;21;0;0;203,65;9589,87;0,0;95,4545;0,0
ADMIRAL;ROMA CAPITOLINO;21;1;0;0;20;0;0;167,75;11278,93;0,0;95,2381;0,0
BBET;www.mbet.it;27;8;0;0;19;0;0;129,2;31406,5;0,0;70,3704;0,0
ADMIRAL;LONATO MANTOVA;22;3;0;0;19;0;0;817,5;10650,56;0,0;86,3636;0,0
ADMIRAL;ROMA GREGOROVIUS;20;1;0;0;19;0;0;124,2;2410,77;0,0;95,0;0,0
ADMIRAL;PIEVE EMANUELE PINI;19;1;0;0;18;0;0;58,0;101289,47;0,0;94,7368;0,0
ADMIRAL;SULMONA OVIDIO;21;3;0;0;18;0;0;153,4;11681,44;0,0;85,7143;0,0
ADMIRAL;TORINO ALA DI STURA;18;0;0;0;18;0;0;275,5;4212,55;0,0;100,0;0,0
ADMIRAL;VITERBO FALCONE E BORSELLINO;18;1;0;0;17;0;0;72,0;9307,79;0,0;94,4444;0,0
ADMIRAL;RIANO RIANESE;16;0;0;0;16;0;0;687,2;9738,24;0,0;100,0;0,0
ADMIRAL;MARIGLIANO SAN FRANCESCO;17;1;0;0;16;0;0;516,2;8388,15;0,0;94,1176;0,0
ADMIRAL;TORINO BELLI;17;1;0;0;16;0;0;427,0;7255,780000000001;0,0;94,1176;0,0
BBET;WWW.UNIONSBET.IT;19;3;0;0;16;0;0;774,8;5212,71;0,0;84,2105;0,0
ADMIRAL;CASCIA ROMA;18;4;0;0;14;0;0;203,5;46937,65;0,0;77,7778;0,0
ADMIRAL;CAVA DE TIRRENI CORTE;13;0;0;0;13;0;0;207,0;10006,119999999999;0,0;100,0;0,0
ADMIRAL;TARQUINIA MORO;14;1;0;0;13;0;0;385,5;4911,99;0,0;92,8571;0,0
ADMIRAL;SAN GIOVANNI TEATINO AMENDOLA;14;1;0;0;13;0;0;94,5;3353,73;0,0;92,8571;0,0
ADMIRAL;GROTTAMMARE DALLA CHIESA;12;0;0;0;12;0;0;186,5;10179,55;0,0;100,0;0,0
ADMIRAL;VERONA SAN MICHELE;10;0;0;0;10;0;0;130,0;1782,28;0,0;100,0;0,0
ADMIRAL;TORINO ALTESSANO;12;3;0;0;9;0;0;40,0;21530,34;0,0;75,0;0,0
ADMIRAL;SPINETOLI DE GASPERI;9;0;0;0;9;0;0;177,0;2900,24;0,0;100,0;0,0
ADMIRAL;L''AQUILA SARAGAT;10;2;0;0;8;0;0;305,0;10283,529999999999;0,0;80,0;0,0
ADMIRAL;PINETO NAZIONALE NORD;8;0;0;0;8;0;0;62,5;6155,66;0,0;100,0;0,0
ADMIRAL;GATTINARA MARCONI;10;2;0;0;8;0;0;82,5;3267,92;0,0;80,0;0,0
ADMIRAL;PIACENZA I MAGGIO;8;2;0;0;6;0;0;143,0;39312,729999999996;0,0;75,0;0,0
ADMIRAL;SARNO ACQUAROSSA;7;1;0;0;6;0;0;128,0;1403,53;0,0;85,7143;0,0
ADMIRAL;PALMA CAMPANIA TRIESTE;9;4;0;0;5;0;0;507,0;4048,17;0,0;55,5556;0,0
ADMIRAL;MONTESARCHIO SAN GIOVANNI;5;0;0;0;5;0;0;17,0;312,5;0,0;100,0;0,0
ADMIRAL;MODENA FUSCO;5;1;0;0;4;0;0;35,5;14795,8;0,0;80,0;0,0
ADMIRAL;RIGNANO FLAMINIO FLAMINIA;5;1;0;0;4;0;0;52,0;1265,6899999999998;0,0;80,0;0,0
BBET;www.Q365.it;3;1;0;0;2;0;0;22,0;3300,4000000000005;0,0;66,6667;0,0
ADMIRAL;AFRAGOLA ITALIA;2;0;0;0;2;0;0;10,0;500,0;0,0;100,0;0,0
ADMIRAL;TORINO SETTIMO;1;0;0;0;1;0;0;20,0;140,0;0,0;100,0;0,0
