concessionario;nome_commerciale;payout_medio;payout_mediana;payout_p90;payout_p95;payout_p99;payout_massimo_osservato;ticket_vincenti_medio;ticket_vincenti_massimo;ticket_esclusi_compatibilita
ADMIRAL;VITERBO FALCONE E BORSELLINO;133,47966;0,0;25,0;25,0;5642,97;11384,52;0,41;2;0
ADMIRAL;BRESCIA TRENTO;16,90154;24,55;24,55;24,55;24,55;2490,69;0,588;1;0
SPORTBET;WWW.STARGAME.IT;20,64;20,64;20,64;20,64;20,64;20,64;1,0;1;0
ADMIRAL;SAN GIOVANNI TEATINO AMENDOLA;15,02309;12,07;12,07;12,07;12,07;1996,57;1,178;3;0
BBET;WWW.GAM-X.EU;14,12551;5,02;9,57;11,35;11,35;4739,76;1,841;5;0
ADMIRAL;LISSONE DE AMICIS;10,105039999999999;1,65;1,65;1,65;240,13;240,13;0,67;2;0
ADMIRAL;PALMA CAMPANIA TRIESTE;1,1291399999999998;1,23;1,23;1,23;1,23;1,23;0,918;1;0
ADMIRAL;ANCONA MUSONE;197,13522;0,0;0,0;0,0;304,03939999994657;44657,89;0,024;1;0
ADMIRAL;CAMPOFRANCO GRANDE;105,05632;0,0;0,0;0,0;3625,29;12321,85;0,035;3;0
ADMIRAL;MODENA FUSCO;12,864559999999999;0,0;0,0;0,0;0,0;6432,28;0,002;1;0
ADMIRAL;ROMA CAPRANESI;9,338299999999998;0,0;0,0;0,0;264,9357999999975;537,76;0,047;2;0
ADMIRAL;ROCCAPIEMONTE GARGIULO;8,0096;0,0;0,0;0,0;200,24;200,24;0,04;1;0
ADMIRAL;AFRAGOLA ITALIA;4,75;0,0;0,0;0,0;250,0;250,0;0,019;1;0
ADMIRAL;TRAPANI FARDELLA;2,80245;0,0;0,0;0,0;164,85;164,85;0,017;1;0
ADMIRAL;FOLLONICA CASSARELLO;0,1;0,0;0,0;0,0;0,0;100,0;0,001;1;0
ADMIRAL;URGNANO ROMA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
