iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
244;13927;7;5253178,06
245;14369;7;5738238,03
246;12869;7;5239530,21
247;12865;7;5116421,0
248;13157;7;4385577,59
249;14272;7;5665844,76
250;12970;7;5257088,9
251;11916;7;4877104,63
252;14526;7;4960203,65
253;12196;7;3939208,46
254;14087;7;5957886,75
255;12540;7;4904569,87
256;13906;7;5920844,94
257;13355;7;4990918,03
258;13719;7;6908879,09
259;14152;7;5524564,51
260;13743;7;6340635,04
261;13512;7;5996755,29
262;13273;7;4814396,89
263;13161;7;4453882,16
264;13142;7;5391698,9
265;14208;7;5343546,37
266;13560;7;5535969,5
267;13589;7;6012205,45
268;14727;7;5939485,03
269;12773;7;5498936,08
270;13243;7;4778942,46
271;12860;7;4730247,42
272;13986;7;5431669,14
273;12929;7;4632505,99
274;12443;7;4609847,76
275;13106;7;4577387,84
276;13837;7;6157835,78
277;13488;7;5594543,13
278;13652;7;4493587,86
279;12841;7;5880748,12
280;13095;7;4397453,67
281;13846;7;6593667,88
282;12974;7;5849579,63
283;14088;7;5029250,5
284;12856;7;4901794,05
285;13656;7;5537909,73
286;12130;7;5520153,08
287;12999;7;5321105,39
288;13042;7;5150279,53
289;12600;7;4799244,38
290;13828;7;6266159,96
291;12349;7;5346893,88
292;13436;7;5255351,5
293;14636;7;6050023,23
294;15004;7;5091467,16
295;12542;7;5596677,49
296;13339;7;5065555,65
297;14783;7;6599927,68
298;13834;7;4854924,57
299;13635;7;4923092,64
300;14064;7;5656951,59
301;12668;7;4956856,06
302;13774;7;5028917,08
303;12399;7;4816786,07
304;12378;7;4742862,6
305;13962;7;6917016,31
306;13371;7;5827171,78
307;11943;7;4209861,53
308;13582;7;4962196,1
309;13827;7;5588115,11
310;13555;7;4729176,39
311;13188;7;4831960,19
312;13858;7;5198194,83
313;14030;7;5118629,35
314;13719;7;6285101,54
315;13516;7;5698644,09
316;13084;7;4763573,65
317;13214;7;5599215,92
318;13035;7;5579871,39
319;13690;7;6008945,17
320;13399;7;5024524,76
321;12440;7;4537252,4
322;13720;7;5343539,84
323;14189;7;6000361,07
324;14277;7;6563581,91
325;14362;7;5853684,33
326;13798;7;5682503,39
327;12810;7;5578923,53
328;13211;7;4631056,23
329;14148;7;5254309,74
330;13350;7;5189831,26
331;13923;7;5851739,51
332;13856;7;5172966,21
333;13576;7;5507416,56
334;12104;7;5221540,94
335;12271;7;4475263,57
336;14784;7;5351439,08
337;13048;7;4848511,63
338;13975;7;6000824,97
339;12527;7;4765120,34
340;12572;7;5079880,89
341;12936;7;4505283,01
342;14050;7;5767950,23
343;13426;7;5051644,09
344;13146;7;5275965,14
345;14578;7;5305937,52
346;12765;7;3912792,99
347;14187;7;5488943,96
348;13812;7;5548563,19
349;12672;7;5010327,35
350;14429;7;5739434,63
351;13151;7;5539184,17
352;14221;7;6487011,85
353;14011;7;6133782,55
354;12323;7;4490345,22
355;13831;7;4203079,1
356;12921;7;5108181,54
357;12148;7;5146156,09
358;13526;7;5095553,19
359;13679;7;5604801,06
360;13627;7;5141541,6
361;14109;7;5822314,54
362;12726;7;4588616,48
363;12254;7;4842656,97
364;13500;7;5696355,81
365;12848;7;5091380,76
366;12415;7;5859176,34
367;13563;7;5140711,16
368;13290;7;5959977,91
369;12331;7;4718050,85
370;12962;7;5932272,03
371;13231;7;4924350,22
372;13842;7;4906177,52
373;13359;7;5135246,44
374;13279;7;5596475,71
375;14341;7;5364364,21
376;13511;7;5456596,12
377;12636;7;5158097,39
378;13024;7;5019247,67
379;14884;7;7303797,23
380;14730;7;5449861,65
381;13510;7;6446487,54
382;13131;7;5148954,33
383;15026;7;6503549,18
384;13199;7;5165299,05
385;13309;7;5831998,03
386;13424;7;6326202,89
387;12315;7;5536048,09
388;12849;7;4522326,54
389;12494;7;5632712,46
390;13199;7;6078693,81
391;12809;7;4952828,52
392;13089;7;4597436,31
393;13345;7;5043981,52
394;14292;7;5650988,62
395;12162;7;5347019,17
396;13704;7;5440038,67
397;13373;7;5539551,49
398;13618;7;5283599,22
399;12880;7;5528872,61
400;13155;7;5308065,5
