iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
1057;14904;7;6590005,28
1058;13164;7;4527785,1
1059;12650;7;4826558,47
1060;14883;7;5847233,61
1061;12509;7;4512374,79
1062;12996;7;5687135,69
1063;14669;7;6301213,5
1064;14253;7;4504435,54
1065;13103;7;4318843,6
1066;14244;7;6459776,42
1067;12182;7;5331804,02
1068;12793;7;5080867,44
1069;12991;7;5256898,4
1070;13639;7;5064101,4
1071;12999;7;5121392,71
1072;12594;7;5416184,42
1073;13664;7;6045949,1
1074;13837;7;6524750,22
1075;13923;7;4912128,74
1076;13445;7;5808786,07
1077;12758;7;4520769,95
1078;13049;7;4783541,84
1079;13049;7;5554501,46
1080;12862;7;4851899,29
1081;13476;7;5925181,84
1082;14265;7;6800090,66
1083;13994;7;6056976,06
1084;12568;7;4770815,14
1085;13447;7;6003313,83
1086;12978;7;4378059,44
1087;11953;7;4448667,37
1088;13676;7;5515765,28
1089;12415;7;5530995,69
1090;13564;7;5031048,11
1091;14528;7;5910965,79
1092;13059;7;4950236,98
1093;12702;7;6272579,67
1094;13461;7;6185920,8
1095;14533;7;7184720,15
1096;14179;7;6010464,39
1097;13122;7;6038708,97
1098;14210;7;7134044,52
1099;13494;7;5409475,19
1100;12089;7;4504895,67
1101;12812;7;4175640,14
1102;12660;7;5189833,52
1103;12198;7;4429963,58
1104;13281;7;4774990,58
1105;14763;7;6486931,87
1106;14518;7;6302974,71
1107;12641;7;4538159,62
1108;14611;7;6024473,88
1109;13749;7;5180603,46
1110;14401;7;5799420,94
1111;13384;7;5968529,23
1112;12612;7;5513251,53
1113;12924;7;4143291,02
1114;12915;7;4079868,12
1115;13580;7;4236583,16
1116;12244;7;3933066,89
1117;12340;7;5485260,67
1118;14941;7;6075123,05
1119;13298;7;4659361,45
1120;12155;7;4440287,23
1121;13330;7;5411250,44
1122;12123;7;4293448,35
1123;13596;7;4723148,74
1124;13380;7;5270303,49
1125;12446;7;4309440,27
1126;14690;7;5854673,06
1127;12343;7;4422248,13
1128;12931;7;4345254,28
1129;13844;7;6216474,01
1130;13131;7;5284113,92
1131;15112;7;6588040,7
1132;12114;7;5368593,88
1133;14144;7;5872494,5
1134;13897;7;4981448,31
1135;13425;7;5262088,63
1136;12805;7;5431196,28
1137;13664;7;5769981,51
1138;13243;7;5597864,32
1139;13725;7;5424186,55
1140;12684;7;4037718,28
1141;13269;7;4809377,77
1142;14135;7;5120378,08
1143;13897;7;6433214,77
1144;14568;7;6366529,52
1145;13080;7;4573187,45
1146;13396;7;6339134,15
1147;15825;7;6771390,27
1148;12145;7;4171574,76
1149;13905;7;5866215,38
1150;13311;7;5084275,99
1151;13152;7;4419545,84
1152;13008;7;4500478,57
1153;13621;7;6223497,12
1154;13345;7;4656484,19
1155;13086;7;4758404,64
1156;13853;7;6375359,06
1157;14055;7;5144509,45
1158;15512;7;7274820,45
1159;12828;7;4870378,54
1160;12363;7;4461052,06
1161;12337;7;5903000,29
1162;13376;7;6771612,33
1163;14431;7;5849394,71
1164;13107;7;4103064,58
1165;13711;7;4850774,19
1166;13095;7;4558732,82
1167;14431;7;6880642,45
1168;14703;7;7634454,0
1169;13366;7;4940326,12
1170;13885;7;5571684,74
1171;13330;7;5813973,44
1172;13810;7;6636539,0
1173;12404;7;5862825,11
1174;14106;7;5594929,82
1175;13851;7;5354904,74
1176;14499;7;5300649,09
1177;13038;7;5156604,45
1178;13419;7;5454684,92
1179;13283;7;4755378,89
1180;13018;7;5278015,92
1181;12667;7;5146351,28
1182;13456;7;5696763,2
1183;12778;7;4546796,01
1184;13410;7;6125027,4
1185;14468;7;6430873,29
1186;13412;7;5285603,94
1187;13219;7;4970439,44
1188;12777;7;5002419,28
1189;13869;7;6224295,74
1190;13438;7;5294918,69
1191;13400;7;4684269,95
1192;13220;7;5399606,34
1193;14493;7;5307355,1
1194;13030;7;5548438,25
1195;12353;7;4691266,5
1196;12500;7;4655342,81
1197;13759;7;5627442,95
1198;13739;7;5036586,23
1199;13963;7;5849860,11
1200;11797;7;4492916,3
1201;13280;7;4265786,78
1202;12853;7;4626112,9
1203;12581;7;4417510,44
1204;14217;7;5351576,08
1205;13671;7;5339503,9
1206;13386;7;4539677,48
1207;13137;7;4573797,95
1208;13834;7;6177441,29
1209;14523;7;7086896,22
1210;12210;7;4695664,31
1211;13379;7;4726887,36
1212;12973;7;4723264,46
1213;14014;7;5697945,63
1214;12572;7;4464530,42
1215;13566;7;5906288,1
1216;13468;7;5724657,52
1217;13609;7;6716268,48
1218;13832;7;6154791,66
1219;12149;7;3972209,2
1220;12174;7;5970888,19
1221;12898;7;6035471,84
1222;12815;7;6035899,04
1223;13021;7;4712255,23
1224;13635;7;5461530,12
1225;13784;7;5541629,84
1226;12611;7;4850984,69
1227;14812;7;7779633,44
1228;12181;7;4813715,95
1229;12743;7;4551241,55
1230;12621;7;4500413,17
1231;13200;7;4766662,5
1232;13957;7;5360535,58
1233;13188;7;5230365,12
1234;13198;7;5548768,2
1235;14716;7;5626977,84
1236;12643;7;5137444,21
1237;12913;7;4367661,11
1238;12926;7;4694417,95
1239;12976;7;4982803,35
1240;12196;7;4586636,07
1241;13416;7;5261923,11
1242;12941;7;4177471,67
1243;14453;7;5833938,95
1244;13315;7;4906238,9
1245;12930;7;5320093,7
1246;13743;7;6411545,4
1247;13161;7;4946055,98
1248;13198;7;4783536,24
1249;13108;7;5416779,93
1250;12741;7;4177474,85
1251;13460;7;5835388,28
1252;14026;7;6031589,09
1253;13318;7;6231783,32
1254;14002;7;5849014,93
1255;14597;7;5946812,33
1256;12277;7;4476236,34
1257;14268;7;6091773,92
1258;13050;7;4791738,41
1259;12787;7;4444253,63
1260;12713;7;4664431,14
1261;12465;7;4254875,45
1262;11848;7;4383822,29
1263;11939;7;5324304,76
1264;13087;7;5746490,74
1265;14975;7;7106557,63
1266;14312;7;5971975,83
1267;13017;7;5516187,0
1268;13572;7;5144885,84
1269;14304;7;5594379,22
1270;12085;7;4734976,18
1271;11928;7;4041779,59
1272;12772;7;5562015,04
1273;12651;7;6082768,05
1274;13782;7;4819954,95
1275;12804;7;5635429,69
1276;12864;7;5580694,27
1277;14194;7;5463577,19
1278;13932;7;6822826,07
1279;13391;7;5669770,97
1280;13507;7;5486108,56
1281;13347;7;5861749,4
1282;14514;7;4649035,95
1283;13553;7;5405301,74
1284;11926;7;4823490,12
1285;13307;7;5347035,13
1286;13578;7;5725479,6
1287;13220;7;5349342,86
1288;14092;7;5280053,44
1289;13721;7;6397880,89
1290;13114;7;5083152,47
1291;14608;7;5473132,64
1292;13387;7;5046437,36
1293;13295;7;4929602,56
1294;13309;7;5798108,1
1295;14211;7;4532749,25
1296;13562;7;5633569,52
1297;13211;7;5362032,89
1298;14003;7;5404288,66
1299;14076;7;4675944,35
1300;13307;7;4695658,48
1301;12418;7;4847547,04
1302;13480;7;5448237,01
1303;14035;7;5811822,37
1304;12246;7;5246970,59
1305;13039;7;5342554,86
1306;13049;7;5057991,03
1307;12465;7;5694971,35
1308;14366;7;5489050,14
1309;14805;7;6205895,2
1310;13309;7;4543484,71
1311;12646;7;4641178,09
1312;13727;7;6368123,03
1313;13628;7;5762301,14
1314;12091;7;4823127,15
1315;13585;7;5667037,5
1316;13380;7;5795235,68
1317;13165;7;6054609,24
1318;14479;7;6385318,21
1319;13973;7;5989529,67
1320;13120;7;5017972,86
1321;13809;7;4887907,62
1322;12370;7;5882063,13
1323;13884;7;5867957,07
1324;13502;7;6992989,51
1325;13205;7;5748330,26
1326;14274;7;4744347,98
1327;12456;7;5197813,42
1328;13157;7;5915235,39
1329;13560;7;5348031,68
1330;12355;7;5376611,1
1331;12409;7;4718595,35
1332;14018;7;4953397,46
1333;12911;7;4501087,72
1334;13746;7;6026847,87
1335;12708;7;4622187,76
1336;13520;7;5820745,42
1337;12684;7;4867193,87
1338;13213;7;6287903,64
1339;13688;7;6416065,63
1340;11822;7;5492924,48
1341;12298;7;4584323,17
1342;12497;7;4837431,62
1343;14442;7;6080535,36
1344;13178;7;5333720,95
1345;13830;7;5818909,35
1346;12371;7;4634975,34
1347;13727;7;5392164,71
1348;13278;7;5136628,79
1349;13905;7;5452488,55
1350;12439;7;5284959,41
1351;13364;7;6631972,31
1352;12796;7;5362848,02
1353;12612;7;5453465,21
1354;13596;7;5092006,67
1355;12684;7;4521224,42
1356;13458;7;5629204,38
1357;13785;7;5986339,52
1358;12677;7;5023706,5
1359;13680;7;5518446,59
1360;12544;7;4672024,14
1361;12073;7;3993027,76
1362;12758;7;5160130,63
1363;12981;7;5296592,32
1364;13514;7;4859130,79
1365;12526;7;4349929,65
1366;14205;7;6475239,38
1367;12593;7;5499873,54
1368;12011;7;4811823,1
1369;12467;7;4932238,42
1370;13222;7;4860524,8
1371;13024;7;6172976,35
1372;13787;7;4575679,08
1373;15038;7;5293055,03
1374;13005;7;4781180,89
1375;12673;7;4486359,75
1376;14133;7;7094339,0
1377;13848;7;5719328,5
1378;12081;7;4641297,64
1379;13906;7;5392316,15
1380;13518;7;5161646,36
1381;13291;7;5755394,83
1382;13457;7;5374568,85
1383;14277;7;6232239,9
1384;13047;7;4901601,63
1385;12873;7;6230850,08
1386;12649;7;4214576,45
1387;13676;7;5322079,48
1388;12843;7;4812148,86
1389;12821;7;4366753,07
1390;13146;7;5522367,09
1391;13432;7;5310830,99
1392;13472;7;5154392,1
1393;13277;7;5516019,96
1394;14024;7;5937406,2
1395;14021;7;5437713,33
1396;13294;7;4510924,77
1397;12705;7;5615042,33
1398;12964;7;4475555,06
1399;13244;7;4961104,41
1400;13805;7;4772075,92
1401;12263;7;4094703,28
1402;15252;7;7532534,43
1403;12994;7;5557925,71
1404;14448;7;6745291,45
1405;12756;7;6821687,45
1406;15068;7;5541705,64
1407;14423;7;6625805,72
1408;13033;7;5287059,15
1409;12036;7;5487447,22
1410;13398;7;5989402,47
1411;13860;7;6126763,82
1412;14946;7;5596908,27
1413;12671;7;4828342,63
1414;13036;7;5803367,71
1415;13266;7;4730498,84
1416;13612;7;5311202,31
1417;14191;7;5855179,96
1418;12953;7;5307725,71
1419;13301;7;4805506,22
1420;13660;7;6096651,0
1421;12869;7;5184388,11
1422;13578;7;4770486,86
1423;13115;7;5017522,42
1424;13702;7;6105052,85
1425;14530;7;5129152,74
1426;12594;7;4884837,69
1427;12916;7;5585468,58
1428;13151;7;5821358,62
1429;13664;7;5297943,75
1430;13765;7;5784155,26
1431;12952;7;4533311,5
1432;13545;7;4473192,45
1433;13590;7;4601970,99
1434;14687;7;5686127,96
1435;13286;7;5739760,42
1436;13948;7;7249077,73
1437;13337;7;4427651,65
1438;14499;7;6267264,57
1439;13199;7;5258637,89
1440;14115;7;5538721,4
1441;13666;7;5640372,81
1442;13436;7;5801825,28
1443;14013;7;6036111,13
1444;13527;7;4105792,5
1445;12805;7;5561081,5
1446;12763;7;4414919,96
1447;13464;7;5690073,85
1448;13635;7;6128623,81
1449;13150;7;5407986,44
1450;13098;7;4825308,14
1451;12568;7;4652245,89
1452;12489;7;4413296,53
1453;12787;7;5287461,09
1454;12231;7;5079491,39
1455;13187;7;6018332,8
1456;13195;7;5589298,76
1457;12503;7;4193501,69
1458;12985;7;5147369,97
1459;13016;7;5951455,21
1460;14659;7;5434561,03
1461;13839;7;5992444,84
1462;12013;7;4628799,12
1463;13494;7;5318831,92
1464;12734;7;5638815,1
1465;13889;7;5415943,02
1466;13834;7;4978072,76
1467;14346;7;5882111,61
1468;14189;7;5957337,95
1469;13984;7;6515247,68
1470;13677;7;6013968,93
1471;11839;7;4707848,7
1472;12441;7;4082124,67
1473;13767;7;6039501,75
1474;12687;7;4932972,87
1475;11931;7;4437216,16
1476;13965;7;6206159,72
1477;13653;7;5878238,85
1478;12071;7;4388081,42
1479;12726;7;5308933,47
1480;13983;7;6254358,47
1481;13737;7;6171614,3
1482;13034;7;5224819,19
1483;13831;7;5806782,33
1484;12994;7;5274382,36
1485;13305;7;5391551,89
1486;12729;7;5842119,6
1487;12389;7;5232869,95
1488;14244;7;6462018,3
1489;13782;7;5445866,79
1490;13792;7;4673858,7
1491;13980;7;5824707,77
1492;14260;7;6416869,21
1493;14871;7;5597826,54
1494;13689;7;5717536,87
1495;14677;7;5220837,04
1496;12999;7;4582451,55
1497;13483;7;5327142,76
1498;13879;7;5591965,77
1499;13446;7;5718737,23
1500;14501;7;5142148,46
1501;13191;7;6694903,05
1502;12312;7;4436384,43
1503;14084;7;5533961,28
1504;13095;7;4706975,82
1505;12441;7;4840242,72
1506;13327;7;5469884,21
1507;14839;7;7355593,14
1508;12423;7;5560540,56
1509;13666;7;4641203,11
1510;13566;7;5959871,11
1511;12621;7;5020467,94
1512;12911;7;4472523,72
1513;13505;7;4646822,46
1514;13393;7;5271885,38
1515;12737;7;4210429,12
1516;13035;7;4545098,23
1517;12360;7;3919154,3
1518;12979;7;4723338,27
1519;13782;7;5912210,86
1520;12519;7;4097028,9
1521;13034;7;4295471,82
1522;12930;7;5018931,47
1523;12151;7;4120147,85
1524;12203;7;4444457,44
1525;13865;7;6254865,26
1526;13661;7;5835362,51
1527;12158;7;4773417,46
1528;13488;7;6376485,62
1529;13342;7;6688346,09
1530;13293;7;4152406,57
1531;13928;7;5688183,58
1532;13083;7;5384609,9
1533;14246;7;5351430,81
1534;14296;7;5461372,7
1535;14329;7;5693720,73
1536;13010;7;5216600,47
1537;13386;7;4849733,08
1538;12868;7;4797213,06
1539;12540;7;5497278,93
1540;13243;7;5326471,26
1541;13890;7;6088752,82
1542;13167;7;5106551,32
1543;12385;7;5266742,86
1544;13451;7;5665786,26
1545;13591;7;5791193,4
1546;13821;7;6441868,37
1547;13886;7;5487849,14
1548;13825;7;5013715,01
1549;12946;7;5113200,3
1550;14018;7;5435209,51
1551;14271;7;4632226,14
1552;13481;7;4522368,19
1553;13159;7;5231665,63
1554;13002;7;4909271,23
1555;14405;7;5251910,19
1556;13483;7;5313800,58
1557;13533;7;4418486,17
1558;13381;7;5171445,57
1559;12260;7;5208354,47
1560;13390;7;5405343,54
1561;11911;7;4949833,79
1562;12663;7;5191526,36
1563;12207;7;5107518,07
1564;13153;7;5543279,53
1565;13120;7;4732693,54
1566;13414;7;5653561,73
1567;13318;7;5529571,59
1568;13511;7;4910527,64
1569;13838;7;4745599,7
1570;13312;7;6380083,13
1571;13192;7;5513662,57
1572;12959;7;5152281,23
1573;12935;7;4821415,85
1574;13336;7;6023718,79
1575;13412;7;6806855,58
1576;13601;7;4281551,14
1577;13500;7;4808359,46
1578;14099;7;5998353,8
1579;14416;7;6305139,2
1580;13286;7;5717201,9
1581;13029;7;4880064,89
1582;12486;7;4110810,71
1583;14277;7;6651585,37
1584;13526;7;5322785,73
1585;13710;7;5678748,41
1586;13920;7;6456211,93
1587;12980;7;4386283,58
1588;12670;7;4524918,21
1589;13622;7;4811070,33
1590;13848;7;6132101,0
1591;12353;7;5147574,74
1592;12543;7;4143751,25
1593;13141;7;4729096,97
1594;12997;7;5147170,42
1595;13556;7;5460827,1
1596;12175;7;4341510,44
1597;13905;7;5777900,68
1598;13483;7;4976232,44
1599;12978;7;5087369,29
1600;13391;7;5633130,75
1601;13399;7;6074789,14
1602;13817;7;5385458,32
1603;13610;7;4738253,45
1604;12512;7;5294392,97
1605;13561;7;5478650,6
1606;13639;7;4953928,88
1607;14878;7;5372563,49
1608;14273;7;5421817,28
1609;13308;7;4380259,94
1610;13027;7;4882672,57
1611;13377;7;4841077,85
1612;14454;7;5980639,13
1613;13324;7;5621577,3
1614;12355;7;5231487,53
1615;13587;7;5110750,96
1616;12504;7;6707567,16
1617;12766;7;4547247,79
1618;14257;7;6295612,57
1619;13328;7;5523799,06
1620;13172;7;5491294,92
1621;13228;7;4847249,12
1622;12807;7;6378409,82
1623;13099;7;4723791,55
1624;12786;7;4955711,08
1625;13837;7;6011794,29
1626;12620;7;4704176,19
1627;11834;7;4875232,74
1628;11397;7;5509951,49
1629;12204;7;4406012,76
1630;13557;7;5908300,58
1631;13731;7;5579402,43
1632;13089;7;4971835,28
1633;12686;7;4862809,74
1634;12673;7;4386971,36
1635;12844;7;5494547,81
1636;13921;7;5857725,59
1637;13191;7;5733425,53
1638;13897;7;5785869,42
1639;14211;7;5763628,53
1640;14197;7;6175083,28
1641;14148;7;6932650,01
1642;12909;7;4491192,06
1643;13043;7;5081167,55
1644;12632;7;4862834,38
1645;13145;7;6220272,05
1646;12737;7;5023001,96
1647;12874;7;5128775,32
1648;13109;7;5383093,33
1649;13720;7;6649604,4
1650;13143;7;5678892,07
1651;14466;7;5895820,88
1652;13150;7;5026513,72
1653;12699;7;5114346,89
1654;13065;7;5547543,64
1655;14274;7;6523543,79
1656;13435;7;6096024,09
1657;13121;7;4450925,34
1658;12148;7;5048498,68
1659;12666;7;5538974,25
1660;12431;7;4131268,82
1661;13726;7;4945812,31
1662;13461;7;5655024,94
1663;12139;7;4708453,63
1664;13106;7;4610053,79
1665;13983;7;4696797,03
1666;12076;7;4639537,99
1667;14741;7;5616036,54
1668;14089;7;6621951,77
1669;12977;7;5397708,89
1670;13099;7;5653934,19
1671;13034;7;5371025,81
1672;13088;7;5577789,54
1673;12685;7;4470988,14
1674;14580;7;7289414,82
1675;11997;7;4504702,53
1676;13975;7;6406446,32
1677;12625;7;4268887,64
1678;13981;7;5810873,32
1679;13165;7;6275433,02
1680;14687;7;5910565,95
1681;13154;7;5020999,79
1682;13400;7;4747484,67
1683;13597;7;5457205,47
1684;14780;7;6200127,6
1685;13613;7;5558407,67
1686;12801;7;5491768,5
1687;13953;7;5398717,25
1688;13900;7;5754055,63
1689;12921;7;4795864,73
1690;14019;7;6291964,25
1691;14294;7;6597935,38
1692;13485;7;5756522,48
1693;12946;7;5237568,48
1694;13274;7;5563410,59
1695;13790;7;4912491,06
1696;12445;7;5097157,86
1697;13518;7;5626714,65
1698;12317;7;5243146,53
1699;13777;7;4679128,87
1700;13301;7;6068930,77
1701;13387;7;5161434,45
1702;12650;7;4876418,8
1703;12672;7;5789944,95
1704;12346;7;4807168,98
1705;14563;7;5597569,86
1706;13122;7;4890406,78
1707;13292;7;5045079,17
1708;13464;7;6620488,73
1709;12073;7;3972736,14
1710;12766;7;4691108,38
1711;13515;7;5296285,01
1712;13649;7;6185058,04
1713;12736;7;5509282,78
1714;13578;7;4995548,12
1715;14157;7;5866926,16
1716;14562;7;6986998,84
1717;13937;7;5488649,11
1718;12985;7;5136896,18
1719;13793;7;5339999,61
1720;12394;7;4837716,74
1721;13070;7;6321552,34
1722;12789;7;4775300,52
1723;13782;7;7299062,12
1724;13107;7;4624324,76
1725;14345;7;5358179,88
1726;13401;7;6025253,47
1727;13466;7;5055550,64
1728;13290;7;4314356,31
1729;12677;7;5478811,49
1730;13931;7;6523005,27
1731;13131;7;4625124,52
1732;13596;7;5443731,0
1733;13990;7;4585691,26
1734;12942;7;5456102,27
1735;13508;7;6512711,34
1736;12942;7;5150377,32
1737;13360;7;4931402,0
1738;13302;7;5092660,88
1739;12809;7;4267595,86
1740;13474;7;6416836,15
1741;13859;7;5738222,31
1742;13786;7;5866084,51
1743;11900;7;5801615,07
1744;11733;7;4711113,63
1745;13986;7;5491162,64
1746;12067;7;4478606,96
1747;13083;7;6526846,63
1748;12754;7;4718445,33
1749;13643;7;5634883,9
1750;13321;7;6014679,06
1751;13275;7;4913376,8
1752;12886;7;5038425,77
1753;13503;7;4813933,87
1754;12306;7;5729129,9
1755;11599;7;4476066,99
1756;13178;7;4433871,79
1757;13473;7;5308523,79
1758;14101;7;4762468,35
1759;11653;7;5604126,76
1760;13897;7;5851808,9
1761;13688;7;4796431,34
1762;13172;7;4846210,92
1763;14002;7;4808677,68
1764;13883;7;5685960,77
1765;12420;7;4796975,11
1766;14278;7;5720689,58
1767;13701;7;5747639,87
1768;12868;7;5382315,34
1769;13307;7;5910519,93
1770;13457;7;5861014,16
1771;13013;7;5819832,12
1772;13183;7;4552821,74
1773;12865;7;4795216,11
1774;12895;7;5896544,14
1775;12388;7;4294803,12
1776;12688;7;5036119,54
1777;14139;7;4965900,31
1778;13032;7;4614372,57
1779;12893;7;4875343,64
1780;12723;7;5177317,05
1781;13142;7;5110279,73
1782;12966;7;6788606,36
1783;13094;7;5136830,4
1784;12962;7;6023314,69
1785;13508;7;4963585,66
1786;14440;7;5563612,68
1787;15169;7;5898110,24
1788;13414;7;5108373,05
1789;13446;7;5341737,57
1790;12662;7;5044855,89
1791;13623;7;5876890,69
1792;13535;7;5487179,36
1793;13916;7;6384576,18
1794;12595;7;4819195,28
1795;12575;7;5068667,98
1796;12409;7;4551771,24
1797;13564;7;5334630,95
1798;12832;7;5215530,29
1799;13151;7;4471660,66
1800;12812;7;5077171,03
1801;13168;7;5721079,6
1802;15968;7;7443821,27
1803;13318;7;5719870,41
1804;13363;7;5198491,36
1805;13121;7;5788534,05
1806;12591;7;4351388,24
1807;13331;7;6107087,55
1808;12755;7;4520858,52
1809;13382;7;5037384,0
1810;12784;7;5327604,48
1811;13146;7;4689726,58
1812;12427;7;5691719,21
1813;12950;7;5108945,04
1814;13387;7;5873593,12
1815;11521;7;4594235,42
1816;13228;7;5218110,72
1817;12172;7;4301610,08
1818;14025;7;5942834,16
1819;12956;7;4827743,92
1820;13052;7;5417756,73
1821;12890;7;5051593,78
1822;11390;7;3677683,84
1823;12306;7;5173239,9
1824;12768;7;5445377,17
1825;13161;7;5280137,45
1826;12431;7;4721198,77
1827;13151;7;4568260,84
1828;13168;7;4391266,56
1829;13012;7;4378876,49
1830;13138;7;5715972,56
1831;13222;7;5013484,96
1832;12453;7;4612344,7
1833;12891;7;5070197,85
1834;12868;7;5073571,41
1835;13500;7;5029174,12
1836;12774;7;3987017,08
1837;14246;7;5464974,13
1838;13118;7;5358054,0
1839;13680;7;5734941,2
1840;13234;7;5018782,92
1841;13113;7;4987361,35
1842;14503;7;6085949,8
1843;13906;7;6377612,3
1844;13960;7;5350992,78
1845;13123;7;5038844,97
1846;13187;7;5324150,72
1847;12640;7;4447817,22
1848;12650;7;4559596,6
1849;13993;7;6032128,31
1850;12587;7;5199563,5
1851;12951;7;4487628,58
1852;12254;7;4622923,75
1853;12496;7;5325021,9
1854;13159;7;5503652,52
1855;12757;7;5449502,16
1856;13307;7;5705369,89
1857;14287;7;6183531,83
1858;13449;7;5276489,24
1859;13507;7;5752839,98
1860;13017;7;6125016,46
1861;12879;7;4997887,51
1862;14050;7;5505520,19
1863;13814;7;6458297,24
1864;13053;7;4606279,01
1865;14262;7;5632616,38
1866;12690;7;5020611,67
1867;13285;7;6494312,83
1868;13528;7;4257577,41
1869;11582;7;3973319,91
1870;13521;7;6154756,15
1871;13768;7;5475707,89
1872;13616;7;5630341,19
1873;13161;7;4836262,98
1874;12435;7;4780262,63
1875;11344;7;5410431,04
1876;12904;7;4342824,29
1877;12792;7;4435952,14
1878;12329;7;3834451,2
1879;13839;7;6049498,45
1880;12481;7;4743398,86
1881;13678;7;5994378,66
1882;14046;7;5393429,33
1883;12974;7;5669663,41
1884;13177;7;5675386,16
1885;13157;7;6246980,87
1886;12879;7;5563129,27
1887;14402;7;6037097,74
1888;12458;7;5190038,92
1889;13436;7;5399585,54
1890;12857;7;5012596,45
1891;12717;7;6422672,01
1892;13554;7;5378086,22
1893;14247;7;5437020,17
1894;13995;7;5209291,52
1895;13231;7;4561657,31
1896;12544;7;4338584,09
1897;12269;7;5371639,27
1898;12784;7;4145917,5
1899;15006;7;5225884,62
1900;12925;7;4092797,6
1901;13346;7;5902934,53
1902;12776;7;5032879,92
1903;14973;7;7041055,33
1904;12179;7;4634996,28
1905;13897;7;5183064,55
1906;12733;7;4350849,41
1907;13741;7;4896813,69
1908;14340;7;6028258,58
1909;13703;7;5022969,86
1910;13751;7;5383680,93
1911;13438;7;5869340,38
1912;14372;7;5078056,3
1913;12998;7;4971541,69
1914;12773;7;5562558,46
1915;12335;7;4945581,71
1916;11964;7;4942591,42
1917;13447;7;5621217,05
1918;14777;7;5072181,81
1919;13612;7;5864852,3
1920;12834;7;5017093,44
1921;13116;7;4680128,09
1922;13150;7;5390986,72
1923;13363;7;5461934,49
1924;13274;7;4574473,37
1925;14588;7;5480907,9
1926;12282;7;3729320,6
1927;12343;7;4540500,52
1928;12866;7;5238127,91
1929;13842;7;5445751,72
1930;12803;7;4870508,51
1931;12828;7;4941435,42
1932;11958;7;5017204,73
1933;13530;7;5246460,55
1934;14940;7;5923513,61
1935;13455;7;4417907,85
1936;14758;7;6722485,74
1937;13923;7;6769319,81
1938;12706;7;5220887,79
1939;13574;7;5712248,1
1940;13730;7;4594584,97
1941;14050;7;5645866,59
1942;12654;7;4789693,6
1943;12680;7;4075922,87
1944;12436;7;4811275,98
1945;12774;7;5175704,99
1946;12847;7;5004876,79
1947;14258;7;5348765,1
1948;12360;7;5055675,22
1949;12619;7;5686808,09
1950;13463;7;6477840,47
1951;12441;7;4868239,67
1952;12778;7;5186767,08
1953;14724;7;5826827,07
1954;13014;7;5431473,28
1955;13217;7;4653097,24
1956;12999;7;6359370,18
1957;12120;7;4569705,79
1958;13681;7;5298025,13
1959;12963;7;5620290,56
1960;12536;7;5277530,44
1961;12755;7;4923113,48
1962;13712;7;5733567,92
1963;13039;7;4848960,44
1964;14160;7;4811797,64
1965;13405;7;6101194,6
1966;13211;7;6438761,35
1967;12966;7;5960275,18
1968;12358;7;4282168,14
1969;13596;7;5253796,16
1970;12629;7;5531309,6
1971;13374;7;6278118,37
1972;14056;7;5924916,09
1973;13172;7;5335581,06
1974;13612;7;5620143,81
1975;13696;7;6118038,73
1976;13707;7;5575680,63
1977;12934;7;4482718,31
1978;13971;7;6823857,5
1979;13800;7;5460289,71
1980;14518;7;5731402,94
1981;13541;7;5318946,3
1982;12395;7;4188753,99
1983;13215;7;4501227,99
1984;13440;7;4954325,65
1985;12665;7;4882540,86
1986;12580;7;4442759,91
1987;15023;7;6474703,96
1988;11872;7;3771719,35
1989;13520;7;5387685,71
1990;13960;7;4942313,81
1991;12607;7;4592970,96
1992;13158;7;5689252,07
1993;12455;7;5317371,81
1994;12255;7;4745454,37
1995;13099;7;4462516,44
1996;13634;7;6509983,82
1997;13560;7;6130795,38
1998;13873;7;5068763,69
1999;13009;7;5110783,42
2000;13138;7;4734432,31
2001;13289;7;5407509,25
2002;13506;7;4669078,37
2003;13288;7;4623375,78
2004;13504;7;4443938,69
2005;13621;7;5229827,05
2006;13964;7;7030215,58
2007;13265;7;5106656,2
2008;12652;7;4208634,05
2009;13014;7;5693604,3
2010;13458;7;5986717,66
2011;14434;7;4792994,78
2012;13501;7;5212566,06
2013;13514;7;5766922,09
2014;11673;7;4382376,73
2015;13408;7;4924711,21
2016;12912;7;5171912,12
2017;12817;7;5163373,43
2018;12879;7;4968472,61
2019;13144;7;5329230,81
2020;14212;7;5798724,36
2021;12775;7;5564410,71
2022;13656;7;6318037,11
2023;11855;7;4155304,06
2024;12856;7;4938253,48
2025;12919;7;4780093,93
2026;14060;7;4898654,58
2027;12321;7;4628942,22
2028;12605;7;4321836,61
2029;12421;7;4105279,29
2030;12527;7;4828024,36
2031;13912;7;5445282,76
2032;13674;7;5058811,36
2033;12845;7;5656258,31
2034;13904;7;6045081,5
2035;13262;7;5255982,38
2036;12728;7;4962165,24
2037;13734;7;4803799,4
2038;12985;7;4280303,73
2039;12993;7;5847085,3
2040;13251;7;4842966,23
2041;13807;7;5237262,14
2042;12731;7;5243444,43
2043;12399;7;5252419,43
2044;13194;7;4669409,56
2045;12594;7;5201974,51
2046;14805;7;6033072,41
2047;13978;7;6452275,49
2048;13000;7;5638915,0
2049;14035;7;5941090,7
2050;13250;7;6270929,9
2051;12457;7;5132333,5
2052;12464;7;4406878,51
2053;13905;7;4767926,4
