concessionario;nome_commerciale;id_evento;evento_descrizione;quota_media;quota_min;quota_max;prob_implicita_media;num_ticket_coinvolti;num_righe_evento;importo_pagato_esposto;payout_potenziale_esposto;payout_potenziale_massimo_ticket;ticket_esclusi_montecarlo;ticket_incompatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_compatibili;righe_esito_mappato;righe_esito_non_mappato;num_famiglie_matrice;num_esiti_matrice;payout_incompatibile;payout_non_mappato;payout_misto;payout_correlato;impatto_atteso_stimato;impatto_compatibilita_stimato;pct_ticket_esclusi_montecarlo;pct_ticket_non_mappati;pct_righe_esito_non_mappato;peso_pct_su_nome_commerciale;peso_pct_su_concessionario
360BET;360BET.IT;E545;CALCIO | ITALIA - COPPA | Lazio - Mantova 1911 | 1X2 | 1;1,33625;1,31;1,34;0,748405;8;8;59,4;46827,48;44633,31;0;0;0;0;4;4;8;0;1;1;0,0;46337,08;0,0;0,0;35045,916515;9267,416;0,0;50,0;0,0;0,861766;0,861766
360BET;360BET.IT;E541;CALCIO | ITALIA - COPPA | Genoa - Ascoli | 1X2 | 1;1,43;1,43;1,43;0,699301;4;4;9,4;45748,96;44633,31;0;0;0;0;2;2;4;0;1;1;0,0;45393,3;0,0;0,0;31992,27972;9078,66;0,0;50,0;0,0;0,841918;0,841918
360BET;360BET.IT;E554;CALCIO | ITALIA - COPPA | Sassuolo Calcio - Cesena FC | 1X2 | 1;1,5;1,5;1,5;0,666667;3;3;4,4;45498,37;44633,31;0;0;0;0;2;1;3;0;1;1;0,0;45393,3;0,0;0,0;30332,246667;9078,66;0,0;66,666667;0,0;0,837306;0,837306
ADMIRAL;RIMINI ITALIA;E5817;CALCIO | ITALIA - I DIVISIONE | Frosinone Calcio - Juventus | ESITO FINALE 1X2 | 2;1,466094;1,45;1,48;0,682145;64;64;125,2;803131,65;49785,98;0;0;0;0;59;5;64;0;1;1;0,0;791149,69;0,0;0,0;547852,125486;158229,938;0,0;92,1875;0,0;1,906039;0,268834
ADMIRAL;WWW.ADMIRALBET.IT;E5817;CALCIO | ITALIA - I DIVISIONE | Frosinone Calcio - Juventus | ESITO FINALE 1X2 | 2;1,464211;1,45;1,48;0,68302;190;190;672,35;669756,99;49015,32;0;0;0;0;110;80;190;0;1;1;0,0;326271,01;0,0;0,0;457457,614908;65254,202;0,0;57,894737;0,0;1,704836;0,224189
ADMIRAL;WWW.ADMIRALBET.IT;E5957;CALCIO | ITALIA - I DIVISIONE | Inter - AC Monza | ESITO FINALE 1X2 | 1;1,220409;1,18;1,23;0,819441;171;171;1570,45;555938,21;49015,32;0;0;0;0;99;72;171;0;1;1;0,0;265231,69;0,0;0,0;455558,589112;53046,338;0,0;57,894737;0,0;1,415116;0,18609
ADMIRAL;RIMINI ITALIA;E5957;CALCIO | ITALIA - I DIVISIONE | Inter - AC Monza | ESITO FINALE 1X2 | 1;1,221571;1,2;1,23;0,818639;70;70;190,5;538661,28;49785,98;0;0;0;0;61;9;70;0;1;1;0,0;516764,98;0,0;0,0;440969,245246;103352,996;0,0;87,142857;0,0;1,278383;0,180307
ADMIRAL;RIMINI ITALIA;E3122;CALCIO | FRANCIA - I DIVISIONE | Paris Saint-Germain - Stade Rennes FC | ESITO FINALE 1X2 | 1;1,401277;1,38;1,42;0,713712;47;47;75,3;525779,06;49785,98;0;0;0;0;43;4;47;0;1;1;0,0;517484,51;0,0;0,0;375254,725318;103496,902;0,0;91,489362;0,0;1,24781;0,175995
ADMIRAL;RIMINI ITALIA;E5788;CALCIO | ITALIA - I DIVISIONE | Bologna FC - Lazio | RIS. ESATTO MULTI ESITI 5 | 1-1 / 2-1 / 1-2 / 2-2;2,625455;2,62;2,64;0,380889;11;11;12,0;496868,79;49755,9;0;0;0;0;11;0;0;11;0;0;0,0;496868,79;0,0;0,0;189251,755473;99373,758;0,0;100,0;100,0;1,179198;0,166318
ADMIRAL;WWW.ADMIRALBET.IT;E5886;CALCIO | ITALIA - I DIVISIONE | Genoa - Napoli | ESITO FINALE 1X2 | 2;1,820849;1,55;1,85;0,550006;106;106;288,4;492174,1;48891,62;0;0;0;0;42;64;106;0;1;1;0,0;187970,56;0,0;0,0;270698,92639;37594,112;0,0;39,622642;0,0;1,252807;0,164746
ADMIRAL;FAENZA MENGOLINA;E8327;CALCIO | SPAGNA - I DIVISIONE | Siviglia - Rayo Vallecano | U/O | OVER;1,528182;1,38;2,2;0,674609;11;11;14,7;474822,64;50000,0;0;0;0;0;11;0;0;11;0;0;0,0;474822,64;0,0;0,0;320319,537008;94964,528;0,0;100,0;100,0;2,33452;0,158938
ADMIRAL;RIMINI ITALIA;E4108;CALCIO | INGHILTERRA - I DIVISIONE | Manchester City - Bournemouth | ESITO FINALE 1X2 | 1;1,449184;1,43;1,47;0,69006;49;49;77,5;465999,26;42759,61;0;0;0;0;46;3;49;0;1;1;0,0;458815,95;0,0;0,0;321567,253718;91763,19;0,0;93,877551;0,0;1,105937;0,155985
ADMIRAL;RIMINI ITALIA;E6272;CALCIO | ITALIA - I DIVISIONE | Udinese - Como | RIS. ESATTO MULTI ESITI 5 | 1-1 / 2-1 / 1-2 / 2-2;2,826;2,82;2,83;0,353858;10;10;11,0;459807,17;49755,9;0;0;0;0;10;0;0;10;0;0;0,0;459807,17;0,0;0,0;162706,494259;91961,434;0,0;100,0;100,0;1,091241;0,153912
ADMIRAL;RIMINI ITALIA;E4057;CALCIO | INGHILTERRA - I DIVISIONE | Hull City - Manchester United | ESITO FINALE 1X2 | 2;1,431778;1,38;1,45;0,698566;45;45;61,5;448351,38;46098,91;0;0;0;0;43;2;45;0;1;1;0,0;445048,64;0,0;0,0;313202,864288;89009,728;0,0;95,555556;0,0;1,064054;0,150077
ADMIRAL;RIMINI ITALIA;E8187;CALCIO | SPAGNA - I DIVISIONE | Espanyol - Levante | 1X | 1X;1,247368;1,23;1,28;0,80181;19;19;22,0;411158,44;49785,98;0;0;0;0;19;0;0;19;0;0;0,0;411158,44;0,0;0,0;329670,836157;82231,688;0,0;100,0;100,0;0,975785;0,137628
ADMIRAL;RIMINI ITALIA;E6092;CALCIO | ITALIA - I DIVISIONE | Roma - Fiorentina | RIS. ESATTO MULTI ESITI 5 | 1-1 / 2-1 / 1-2 / 2-2;3,051111;3,04;3,07;0,327754;9;9;9,0;408182,83;49063,75;0;0;0;0;9;0;0;9;0;0;0,0;408182,83;0,0;0,0;133783,433405;81636,566;0,0;100,0;100,0;0,968723;0,136632
ADMIRAL;RIMINI ITALIA;E8272;CALCIO | SPAGNA - I DIVISIONE | Real Madrid - Real Sociedad | ESITO FINALE 1X2 | 1;1,436429;1,4;1,45;0,696274;28;28;29,0;400907,14;47864,86;0;0;0;0;27;1;28;0;1;1;0,0;399687,37;0,0;0,0;279141,285822;79937,474;0,0;96,428571;0,0;0,951456;0,134196
ADMIRAL;FAENZA MENGOLINA;E8254;CALCIO | SPAGNA - I DIVISIONE | Racing Santander - Villarreal | U/O | OVER;1,422727;1,23;1,9;0,725196;11;11;14,7;395661,33;50000,0;0;0;0;0;11;0;0;11;0;0;0,0;395661,33;0,0;0,0;286931,877803;79132,266;0,0;100,0;100,0;1,945315;0,13244
ADMIRAL;RIMINI ITALIA;E8095;CALCIO | SPAGNA - I DIVISIONE | Atletico Madrid - CF Malaga | ESITO FINALE 1X2 | 1;1,306136;1,27;1,33;0,765711;44;44;148,5;391610,62;46098,91;0;0;0;0;39;5;44;0;1;1;0,0;383393,84;0,0;0,0;299860,519356;76678,768;0,0;88,636364;0,0;0,929393;0,131084
ADMIRAL;FAENZA MENGOLINA;E6294;CALCIO | ITALIA - I DIVISIONE | Udinese - Como | U/O | OVER;1,634286;1,37;2,15;0,638516;14;14;17,9;383822,11;49386,25;0;0;0;0;14;0;0;14;0;0;0,0;383822,11;0,0;0,0;245076,482982;76764,422;0,0;100,0;100,0;1,887106;0,128477
